Realization	utility	week	infra.
4	0	1878	7
4	0	1982	4
4	0	2295	8
9	0	2295	7
10	0	2035	7
11	0	2243	7
14	0	2035	7
15	0	1669	7
15	0	1982	4
15	0	2295	8
21	0	1513	7
21	0	1826	4
21	0	2139	8
29	0	1408	7
29	0	1722	4
29	0	2035	8
30	0	2035	4
35	0	1826	7
35	0	2139	4
36	0	1878	7
36	0	1982	4
47	0	2139	7
48	0	1774	7
48	0	2191	4
51	0	2139	7
51	0	2295	4
52	0	1617	7
52	0	1930	4
52	0	2243	8
56	0	1826	7
56	0	2139	4
58	0	2087	4
65	0	1878	7
65	0	2191	4
66	0	1982	7
66	0	2295	4
71	0	1774	7
71	0	2139	4
74	0	2087	7
77	0	2087	7
82	0	2243	4
87	0	2243	7
91	0	1461	7
91	0	1826	4
91	0	2139	8
93	0	1669	7
93	0	2035	4
95	0	2191	4
0	1	2087	5
3	1	2087	5
4	1	2191	5
14	1	2191	5
15	1	1617	5
18	1	2191	5
29	1	1930	5
30	1	1826	5
35	1	1617	5
41	1	1930	5
43	1	2191	5
45	1	2295	5
51	1	1826	5
52	1	2243	5
56	1	1722	5
60	1	1930	5
72	1	2139	5
74	1	1930	5
77	1	2191	5
82	1	2035	5
84	1	2191	5
87	1	2295	5
93	1	1774	5
95	1	1774	5
3	2	2243	12
4	2	1669	12
4	2	1982	4
10	2	2295	12
11	2	2295	12
14	2	2243	12
15	2	1669	12
15	2	1982	4
16	2	2191	12
18	2	2295	12
21	2	1826	4
29	2	1722	4
30	2	1722	12
30	2	2035	4
35	2	1930	12
35	2	2139	4
36	2	1669	12
36	2	1982	4
41	2	2035	12
42	2	2243	12
43	2	2191	12
45	2	2243	12
48	2	2191	4
51	2	1982	12
51	2	2295	4
52	2	1930	4
56	2	1878	12
56	2	2139	4
58	2	1774	12
58	2	2087	4
60	2	2243	12
61	2	2191	12
65	2	2191	4
66	2	2295	4
71	2	2139	4
72	2	2139	12
74	2	2087	12
82	2	1930	12
82	2	2243	4
84	2	2139	12
87	2	2295	12
91	2	1826	4
93	2	1722	12
93	2	2035	4
94	2	2035	12
95	2	1878	12
95	2	2191	4
99	2	2295	12
