Realization	utility	week	infra.
0	1	2035	11
2	1	2295	11
3	1	2035	11
4	1	2139	11
13	1	2295	11
14	1	2139	11
15	1	1565	11
15	1	1878	5
18	1	2139	11
21	1	2295	11
29	1	1878	11
29	1	2191	5
30	1	1774	11
30	1	2087	5
35	1	1565	11
35	1	1878	5
41	1	1878	11
41	1	2191	5
43	1	2139	11
45	1	2243	11
51	1	1774	11
51	1	2087	5
52	1	2191	11
56	1	1669	11
56	1	1982	5
58	1	2295	11
60	1	1878	11
60	1	2191	5
72	1	2087	11
74	1	1878	11
74	1	2191	5
77	1	2139	11
82	1	1982	11
82	1	2295	5
84	1	2139	11
87	1	2243	11
93	1	1722	11
93	1	2035	5
94	1	2295	11
95	1	1722	11
95	1	2035	5
