Realization	utility	week	infra.
0	0	1461	8
1	0	1722	8
2	0	1774	8
4	0	1356	8
4	0	2295	4
7	0	1722	8
9	0	1565	8
9	0	1878	9
9	0	2139	10
10	0	1461	8
10	0	2139	9
11	0	1617	8
14	0	1565	8
14	0	2191	9
15	0	1669	8
15	0	1982	4
15	0	2035	9
15	0	2295	10
16	0	2139	8
21	0	1356	8
29	0	1252	8
29	0	2191	4
30	0	1982	8
30	0	2191	4
34	0	1617	8
35	0	1617	8
35	0	1930	9
35	0	2191	4
36	0	1461	8
36	0	1930	9
41	0	2087	8
42	0	2295	8
43	0	2087	8
45	0	2139	8
46	0	1722	8
47	0	2035	8
48	0	1513	8
50	0	2035	8
51	0	1774	8
52	0	1565	8
52	0	1878	9
52	0	2139	10
56	0	1669	8
56	0	2035	9
56	0	2191	4
61	0	1982	8
63	0	1982	8
65	0	1356	8
66	0	1408	8
67	0	1513	8
71	0	1408	8
74	0	1774	8
77	0	1461	8
77	0	2139	9
82	0	2035	8
87	0	1826	8
89	0	1774	8
91	0	1461	8
93	0	626	8
93	0	939	9
93	0	1200	10
93	0	1565	4
95	0	1408	8
95	0	1878	9
95	0	2139	10
0	1	1982	5
2	1	2139	5
3	1	2087	5
4	1	1982	5
10	1	2243	5
11	1	2295	5
13	1	2191	5
14	1	2087	5
15	1	1565	5
18	1	2087	5
20	1	2243	5
21	1	2191	5
29	1	1669	5
30	1	1826	5
35	1	1565	5
36	1	2139	5
41	1	1878	5
42	1	2295	5
43	1	2139	5
45	1	2243	5
48	1	2191	5
51	1	1826	5
52	1	1826	5
56	1	1722	5
58	1	2243	5
60	1	1930	5
61	1	2191	5
72	1	1982	5
74	1	1722	5
77	1	1930	5
82	1	1930	5
84	1	2191	5
87	1	2295	5
93	1	1722	5
94	1	2243	5
95	1	1774	5
99	1	2087	5
4	2	1982	12
4	2	2295	4
14	2	2295	12
15	2	1669	12
15	2	1982	4
29	2	1878	12
29	2	2191	4
30	2	1878	12
30	2	2191	4
35	2	1878	12
35	2	2191	4
41	2	2035	12
43	2	2295	12
45	2	2243	12
51	2	2035	12
52	2	2139	12
56	2	1878	12
56	2	2191	4
60	2	2243	12
61	2	2243	12
72	2	2295	12
74	2	2035	12
77	2	2295	12
82	2	2087	12
93	2	1565	4
94	2	2243	12
95	2	2035	12
99	2	2295	12
