Realization,utility,infra.,period,UniqueCount
Path 44 {8},3,12,30's - 34's,127
Path 44 {10},3,12,45's - 49's,15
Path 44 {21},3,9,45's - 49's,15
Path 44 {26},3,9,30's - 34's,119
Path 44 {29},3,20,40's - 44's,32
Path 44 {30},3,20,45's - 49's,9
Path 44 {46},3,9,40's - 44's,46
Path 44 {79},3,20,35's - 39's,26
Path 45 {0},3,20,20's - 24's,151
Path 45 {3},3,20,35's - 39's,39
Path 45 {4},3,20,25's - 29's,122
Path 45 {4},3,9,30's - 34's,68
Path 45 {4},3,12,35's - 39's,18
Path 45 {6},3,20,40's - 44's,37
Path 45 {7},3,20,30's - 34's,91
Path 45 {21},3,20,15's - 19's,6
Path 45 {28},3,9,35's - 39's,33
Path 45 {53},3,12,45's - 49's,7
Path 45 {136},3,9,25's - 29's,29
Path 45 {136},3,12,30's - 34's,27
Path 45 {149},3,9,40's - 44's,20
Path 45 {243},3,12,40's - 44's,17
Path 45 {333},3,9,45's - 49's,5
Path 45 {339},3,20,45's - 49's,4
Path 46 {0},3,20,15's - 19's,15
Path 46 {3},3,20,40's - 44's,43
Path 46 {4},3,20,25's - 29's,75
Path 46 {4},3,9,35's - 39's,31
Path 46 {4},3,12,40's - 44's,7
Path 46 {14},3,20,30's - 34's,75
Path 46 {16},3,20,35's - 39's,35
Path 46 {40},3,20,20's - 24's,56
Path 46 {40},3,9,40's - 44's,18
Path 46 {106},3,9,45's - 49's,3
Path 46 {119},3,20,45's - 49's,11
Path 46 {136},3,9,25's - 29's,4
Path 46 {136},3,12,30's - 34's,4
Path 46 {139},3,9,30's - 34's,20
Path 46 {139},3,12,35's - 39's,7
Path 46 {286},3,12,45's - 49's,3
Path 47 {0},3,20,15's - 19's,17
Path 47 {3},3,20,40's - 44's,43
Path 47 {4},3,20,25's - 29's,83
Path 47 {4},3,9,35's - 39's,22
Path 47 {4},3,12,40's - 44's,7
Path 47 {14},3,20,35's - 39's,36
Path 47 {28},3,20,30's - 34's,73
Path 47 {40},3,9,40's - 44's,26
Path 47 {87},3,20,20's - 24's,41
Path 47 {106},3,9,45's - 49's,3
Path 47 {119},3,20,45's - 49's,13
Path 47 {136},3,9,25's - 29's,4
Path 47 {136},3,12,30's - 34's,4
Path 47 {196},3,9,30's - 34's,17
Path 47 {272},3,12,35's - 39's,4
Path 47 {434},3,12,45's - 49's,3
Path 48 {0},3,20,15's - 19's,243
Path 48 {3},3,20,30's - 34's,72
Path 48 {4},3,20,20's - 24's,71
Path 48 {4},3,9,25's - 29's,69
Path 48 {4},3,12,30's - 34's,41
Path 48 {6},3,20,35's - 39's,24
Path 48 {7},3,20,25's - 29's,85
Path 48 {8},3,9,30's - 34's,45
Path 48 {10},3,9,45's - 49's,18
Path 48 {20},3,9,40's - 44's,27
Path 48 {40},3,12,40's - 44's,18
Path 48 {62},3,9,35's - 39's,15
Path 48 {65},3,20,45's - 49's,7
Path 48 {79},3,20,40's - 44's,23
Path 48 {87},3,12,35's - 39's,20
Path 48 {138},3,9,20's - 24's,23
Path 48 {155},3,12,45's - 49's,3
Path 48 {258},3,20,10's - 14's,1
Path 48 {396},3,12,25's - 29's,4
Path 49 {0},3,20,15's - 19's,115
Path 49 {3},3,20,30's - 34's,70
Path 49 {4},3,20,20's - 24's,104
Path 49 {4},3,9,30's - 34's,60
Path 49 {4},3,12,40's - 44's,17
Path 49 {6},3,20,40's - 44's,31
Path 49 {8},3,20,25's - 29's,92
Path 49 {28},3,9,35's - 39's,28
Path 49 {53},3,12,45's - 49's,10
Path 49 {62},3,9,40's - 44's,14
Path 49 {79},3,20,45's - 49's,14
Path 49 {87},3,12,35's - 39's,8
Path 49 {136},3,9,25's - 29's,29
Path 49 {136},3,12,30's - 34's,22
Path 49 {137},3,20,35's - 39's,18
Path 49 {271},3,9,45's - 49's,5
Path 50 {0},3,20,40's - 44's,43
Path 50 {1},3,20,15's - 19's,24
Path 50 {4},3,12,35's - 39's,27
Path 50 {4},3,9,40's - 44's,20
Path 50 {8},3,20,30's - 34's,72
Path 50 {16},3,20,35's - 39's,39
Path 50 {27},3,20,45's - 49's,12
Path 50 {40},3,20,25's - 29's,65
Path 50 {40},3,12,40's - 44's,21
Path 50 {57},3,20,20's - 24's,25
Path 50 {106},3,12,45's - 49's,5
Path 50 {136},3,12,25's - 29's,4
Path 50 {136},3,9,30's - 34's,4
Path 50 {139},3,12,30's - 34's,19
Path 50 {139},3,9,35's - 39's,13
Path 50 {368},3,9,45's - 49's,2
Path 51 {0},3,20,10's - 14's,1
Path 51 {1},3,20,15's - 19's,233
Path 51 {3},3,20,30's - 34's,75
Path 51 {4},3,20,20's - 24's,70
Path 51 {4},3,9,25's - 29's,74
Path 51 {4},3,12,35's - 39's,21
Path 51 {6},3,20,35's - 39's,23
Path 51 {7},3,20,25's - 29's,69
Path 51 {10},3,9,45's - 49's,16
Path 51 {20},3,9,40's - 44's,32
Path 51 {28},3,9,30's - 34's,49
Path 51 {40},3,12,40's - 44's,18
Path 51 {62},3,9,35's - 39's,11
Path 51 {65},3,20,45's - 49's,8
Path 51 {84},3,20,40's - 44's,28
Path 51 {87},3,12,30's - 34's,36
Path 51 {155},3,12,45's - 49's,4
Path 51 {196},3,9,20's - 24's,15
Path 51 {396},3,12,25's - 29's,4
Path 52 {0},3,9,25's - 29's,123
Path 52 {3},3,20,30's - 34's,94
Path 52 {3},3,9,35's - 39's,56
Path 52 {4},3,20,20's - 24's,132
Path 52 {4},3,12,30's - 34's,101
Path 52 {6},3,9,45's - 49's,14
Path 52 {10},3,20,10's - 14's,37
Path 52 {15},3,20,15's - 19's,153
Path 52 {16},3,9,30's - 34's,103
Path 52 {17},3,12,40's - 44's,39
Path 52 {18},3,9,40's - 44's,51
Path 52 {29},3,20,35's - 39's,33
Path 52 {33},3,20,25's - 29's,79
Path 52 {37},3,20,40's - 44's,46
Path 52 {40},3,9,20's - 24's,43
Path 52 {57},3,12,25's - 29's,11
Path 52 {62},3,12,35's - 39's,37
Path 52 {86},3,20,45's - 49's,4
Path 52 {146},3,12,45's - 49's,5
Path 53 {0},3,20,45's - 49's,10
Path 53 {4},3,20,25's - 29's,73
Path 53 {4},3,9,35's - 39's,15
Path 53 {8},3,20,30's - 34's,76
Path 53 {10},3,20,40's - 44's,38
Path 53 {14},3,20,35's - 39's,29
Path 53 {40},3,9,40's - 44's,22
Path 53 {122},3,9,45's - 49's,8
Path 53 {136},3,20,20's - 24's,26
Path 53 {136},3,9,25's - 29's,3
Path 53 {139},3,9,30's - 34's,21
Path 53 {139},3,12,40's - 44's,5
Path 53 {206},3,12,35's - 39's,3
Path 53 {565},3,12,45's - 49's,2
Path 54 {0},3,20,15's - 19's,227
Path 54 {3},3,20,30's - 34's,65
Path 54 {4},3,20,20's - 24's,85
Path 54 {4},3,9,30's - 34's,68
Path 54 {4},3,12,35's - 39's,18
Path 54 {6},3,20,35's - 39's,25
Path 54 {7},3,20,25's - 29's,91
Path 54 {17},3,9,45's - 49's,11
Path 54 {20},3,9,35's - 39's,23
Path 54 {29},3,20,45's - 49's,8
Path 54 {40},3,9,25's - 29's,61
Path 54 {40},3,12,40's - 44's,16
Path 54 {41},3,9,40's - 44's,18
Path 54 {57},3,12,30's - 34's,43
Path 54 {79},3,20,40's - 44's,27
Path 54 {196},3,9,20's - 24's,9
Path 54 {196},3,12,25's - 29's,6
Path 54 {490},3,12,45's - 49's,3
Path 55 {0},3,9,25's - 29's,102
Path 55 {3},3,20,30's - 34's,104
Path 55 {3},3,9,40's - 44's,36
Path 55 {4},3,20,20's - 24's,171
Path 55 {4},3,12,30's - 34's,85
Path 55 {6},3,20,35's - 39's,38
Path 55 {7},3,20,25's - 29's,104
Path 55 {8},3,9,30's - 34's,104
Path 55 {10},3,20,15's - 19's,122
Path 55 {14},3,9,35's - 39's,30
Path 55 {20},3,12,45's - 49's,8
Path 55 {28},3,12,35's - 39's,16
Path 55 {29},3,20,40's - 44's,27
Path 55 {57},3,9,20's - 24's,36
Path 55 {57},3,12,25's - 29's,25
Path 55 {66},3,20,45's - 49's,4
Path 55 {175},3,12,40's - 44's,12
Path 55 {455},3,9,45's - 49's,6
Path 55 {529},3,20,10's - 14's,2
Path 56 {0},3,20,15's - 19's,114
Path 56 {0},3,9,30's - 34's,94
Path 56 {3},3,20,30's - 34's,94
Path 56 {4},3,20,20's - 24's,182
Path 56 {4},3,9,25's - 29's,76
Path 56 {4},3,12,30's - 34's,62
Path 56 {5},3,20,40's - 44's,48
Path 56 {6},3,20,35's - 39's,43
Path 56 {10},3,9,40's - 44's,52
Path 56 {20},3,9,35's - 39's,30
Path 56 {20},3,12,45's - 49's,7
Path 56 {26},3,20,25's - 29's,117
Path 56 {53},3,12,35's - 39's,29
Path 56 {62},3,12,40's - 44's,18
Path 56 {95},3,20,45's - 49's,11
Path 56 {136},3,9,20's - 24's,6
Path 56 {136},3,12,25's - 29's,6
Path 56 {147},3,9,45's - 49's,16
Path 57 {0},3,9,25's - 29's,276
Path 57 {0},3,12,35's - 39's,52
Path 57 {3},3,9,30's - 34's,153
Path 57 {3},3,20,35's - 39's,43
Path 57 {3},3,12,40's - 44's,36
Path 57 {4},3,20,15's - 19's,250
Path 57 {4},3,12,30's - 34's,145
Path 57 {5},3,20,20's - 24's,141
Path 57 {6},3,9,35's - 39's,98
Path 57 {7},3,9,20's - 24's,58
Path 57 {7},3,20,30's - 34's,49
Path 57 {15},3,20,10's - 14's,22
Path 57 {29},3,20,45's - 49's,5
Path 57 {37},3,9,40's - 44's,59
Path 57 {82},3,20,40's - 44's,34
Path 57 {176},3,9,45's - 49's,5
Path 57 {231},3,12,45's - 49's,12
Path 58 {0},3,20,10's - 14's,2
Path 58 {1},3,20,15's - 19's,228
Path 58 {3},3,20,30's - 34's,78
Path 58 {4},3,20,20's - 24's,69
Path 58 {4},3,9,30's - 34's,51
Path 58 {4},3,12,35's - 39's,17
Path 58 {6},3,20,35's - 39's,23
Path 58 {7},3,20,25's - 29's,73
Path 58 {8},3,9,25's - 29's,61
Path 58 {24},3,9,40's - 44's,24
Path 58 {28},3,9,35's - 39's,27
Path 58 {40},3,12,40's - 44's,22
Path 58 {65},3,20,40's - 44's,28
Path 58 {79},3,20,45's - 49's,9
Path 58 {136},3,12,30's - 34's,38
Path 58 {155},3,12,45's - 49's,3
Path 58 {196},3,9,20's - 24's,6
Path 58 {315},3,9,45's - 49's,6
Path 59 {0},3,9,25's - 29's,177
Path 59 {0},3,12,35's - 39's,81
Path 59 {2},3,20,15's - 19's,358
Path 59 {3},3,20,20's - 24's,129
Path 59 {3},3,9,30's - 34's,122
Path 59 {3},3,12,40's - 44's,50
Path 59 {4},3,20,10's - 14's,52
Path 59 {6},3,9,35's - 39's,86
Path 59 {8},3,12,30's - 34's,142
Path 59 {22},3,20,25's - 29's,62
Path 59 {40},3,9,20's - 24's,48
Path 59 {47},3,20,30's - 34's,61
Path 59 {51},3,20,40's - 44's,23
Path 59 {65},3,9,40's - 44's,48
Path 59 {74},3,20,35's - 39's,39
Path 59 {98},3,20,45's - 49's,1
Path 59 {176},3,9,45's - 49's,7
Path 59 {231},3,12,45's - 49's,12
Path 60 {4},3,9,30's - 34's,42
Path 60 {4},3,12,40's - 44's,13
Path 60 {53},3,9,40's - 44's,18
Path 60 {87},3,9,35's - 39's,24
Path 60 {136},3,9,25's - 29's,32
Path 60 {136},3,12,30's - 34's,15
Path 60 {139},3,20,35's - 39's,3
Path 60 {155},3,9,45's - 49's,3
Path 60 {206},3,20,20's - 24's,1
Path 60 {412},3,20,40's - 44's,4
Path 60 {503},3,9,20's - 24's,1
Path 60 {843},3,12,35's - 39's,2
Path 61 {0},3,20,10's - 14's,85
Path 61 {0},3,9,25's - 29's,232
Path 61 {0},3,12,30's - 34's,222
Path 61 {1},3,12,40's - 44's,82
Path 61 {2},3,20,15's - 19's,453
Path 61 {3},3,20,25's - 29's,97
Path 61 {3},3,9,30's - 34's,126
Path 61 {3},3,12,35's - 39's,105
Path 61 {4},3,9,20's - 24's,85
Path 61 {4},3,12,25's - 29's,66
Path 61 {5},3,9,40's - 44's,67
Path 61 {5},3,12,45's - 49's,24
Path 61 {6},3,9,35's - 39's,101
Path 61 {12},3,20,35's - 39's,41
Path 61 {13},3,20,30's - 34's,49
Path 61 {19},3,20,40's - 44's,30
Path 61 {22},3,20,20's - 24's,120
Path 61 {61},3,9,45's - 49's,18
Path 61 {289},3,20,45's - 49's,6
Path 62 {4},3,9,30's - 34's,61
Path 62 {4},3,20,35's - 39's,21
Path 62 {24},3,9,40's - 44's,27
Path 62 {28},3,9,35's - 39's,38
Path 62 {40},3,9,25's - 29's,62
Path 62 {40},3,20,40's - 44's,14
Path 62 {53},3,20,45's - 49's,4
Path 62 {87},3,20,30's - 34's,36
Path 62 {136},3,20,20's - 24's,2
Path 62 {138},3,9,20's - 24's,13
Path 62 {139},3,12,40's - 44's,6
Path 62 {183},3,9,45's - 49's,2
Path 62 {196},3,20,25's - 29's,10
Path 62 {206},3,12,35's - 39's,3
Path 62 {434},3,12,45's - 49's,4
Path 63 {0},3,20,10's - 14's,5
Path 63 {0},3,12,25's - 29's,90
Path 63 {0},3,9,35's - 39's,69
Path 63 {3},3,12,40's - 44's,57
Path 63 {4},3,20,20's - 24's,112
Path 63 {4},3,12,30's - 34's,104
Path 63 {5},3,20,15's - 19's,229
Path 63 {6},3,20,25's - 29's,87
Path 63 {17},3,12,35's - 39's,39
Path 63 {17},3,9,45's - 49's,13
Path 63 {20},3,9,40's - 44's,57
Path 63 {22},3,20,30's - 34's,53
Path 63 {29},3,20,35's - 39's,78
Path 63 {37},3,20,40's - 44's,50
Path 63 {40},3,9,30's - 34's,86
Path 63 {57},3,12,20's - 24's,29
Path 63 {79},3,12,45's - 49's,20
Path 63 {136},3,9,25's - 29's,16
Path 63 {291},3,20,45's - 49's,6
Path 64 {0},3,20,20's - 24's,144
Path 64 {3},3,20,35's - 39's,44
Path 64 {4},3,9,30's - 34's,70
Path 64 {4},3,12,35's - 39's,32
Path 64 {7},3,20,30's - 34's,94
Path 64 {8},3,20,25's - 29's,90
Path 64 {10},3,20,15's - 19's,90
Path 64 {20},3,9,40's - 44's,25
Path 64 {28},3,9,35's - 39's,40
Path 64 {30},3,20,40's - 44's,36
Path 64 {40},3,9,25's - 29's,41
Path 64 {107},3,12,40's - 44's,17
Path 64 {136},3,12,30's - 34's,26
Path 64 {151},3,20,45's - 49's,9
Path 64 {333},3,9,45's - 49's,5
Path 65 {0},3,20,20's - 24's,115
Path 65 {3},3,20,30's - 34's,91
Path 65 {4},3,9,25's - 29's,57
Path 65 {4},3,12,35's - 39's,17
Path 65 {6},3,20,35's - 39's,42
Path 65 {10},3,20,15's - 19's,138
Path 65 {16},3,20,25's - 29's,59
Path 65 {28},3,9,35's - 39's,14
Path 65 {40},3,9,30's - 34's,51
Path 65 {40},3,12,40's - 44's,20
Path 65 {41},3,9,45's - 49's,6
Path 65 {57},3,12,30's - 34's,36
Path 65 {59},3,9,40's - 44's,26
Path 65 {80},3,20,40's - 44's,27
Path 65 {136},3,9,20's - 24's,9
Path 65 {136},3,12,25's - 29's,6
Path 65 {155},3,12,45's - 49's,2
Path 65 {502},3,20,45's - 49's,3
Path 66 {0},3,20,10's - 14's,25
Path 66 {0},3,9,25's - 29's,139
Path 66 {0},3,12,40's - 44's,37
Path 66 {2},3,20,20's - 24's,90
Path 66 {3},3,9,30's - 34's,106
Path 66 {4},3,20,15's - 19's,335
Path 66 {4},3,9,20's - 24's,51
Path 66 {4},3,12,25's - 29's,36
Path 66 {6},3,9,40's - 44's,45
Path 66 {8},3,12,30's - 34's,109
Path 66 {10},3,9,35's - 39's,59
Path 66 {10},3,12,45's - 49's,16
Path 66 {22},3,20,25's - 29's,113
Path 66 {24},3,12,35's - 39's,34
Path 66 {29},3,20,35's - 39's,39
Path 66 {30},3,20,30's - 34's,52
Path 66 {37},3,20,40's - 44's,48
Path 66 {84},3,9,45's - 49's,10
Path 66 {86},3,20,45's - 49's,1
Path 67 {0},3,20,10's - 14's,112
Path 67 {0},3,9,25's - 29's,146
Path 67 {0},3,12,40's - 44's,43
Path 67 {2},3,20,20's - 24's,183
Path 67 {3},3,20,25's - 29's,136
Path 67 {3},3,9,35's - 39's,69
Path 67 {4},3,20,15's - 19's,188
Path 67 {4},3,12,30's - 34's,99
Path 67 {6},3,9,40's - 44's,57
Path 67 {7},3,9,30's - 34's,100
Path 67 {10},3,12,45's - 49's,14
Path 67 {24},3,12,35's - 39's,77
Path 67 {29},3,20,30's - 34's,59
Path 67 {40},3,9,20's - 24's,39
Path 67 {73},3,20,40's - 44's,29
Path 67 {74},3,20,35's - 39's,39
Path 67 {171},3,20,45's - 49's,5
Path 67 {176},3,9,45's - 49's,8
Path 68 {0},3,20,20's - 24's,63
Path 68 {3},3,20,40's - 44's,44
Path 68 {4},3,20,25's - 29's,73
Path 68 {4},3,9,30's - 34's,38
Path 68 {4},3,12,40's - 44's,8
Path 68 {10},3,20,35's - 39's,48
Path 68 {14},3,20,30's - 34's,79
Path 68 {40},3,9,40's - 44's,26
Path 68 {107},3,20,15's - 19's,12
Path 68 {136},3,9,25's - 29's,12
Path 68 {136},3,12,35's - 39's,10
Path 68 {159},3,9,35's - 39's,16
Path 68 {206},3,12,30's - 34's,3
Path 68 {322},3,20,45's - 49's,3
Path 68 {451},3,9,45's - 49's,3
Path 68 {738},3,12,45's - 49's,1
Path 69 {0},3,20,10's - 14's,17
Path 69 {0},3,9,30's - 34's,96
Path 69 {3},3,20,25's - 29's,104
Path 69 {3},3,9,35's - 39's,30
Path 69 {4},3,20,20's - 24's,115
Path 69 {4},3,9,25's - 29's,107
Path 69 {4},3,12,30's - 34's,91
Path 69 {5},3,20,15's - 19's,268
Path 69 {6},3,20,35's - 39's,36
Path 69 {10},3,9,40's - 44's,31
Path 69 {22},3,20,30's - 34's,70
Path 69 {28},3,12,35's - 39's,22
Path 69 {31},3,20,40's - 44's,20
Path 69 {40},3,9,20's - 24's,48
Path 69 {62},3,12,40's - 44's,15
Path 69 {66},3,20,45's - 49's,4
Path 69 {96},3,9,45's - 49's,11
Path 69 {189},3,12,45's - 49's,4
Path 69 {272},3,12,25's - 29's,13
Path 70 {4},3,20,25's - 29's,71
Path 70 {4},3,9,35's - 39's,12
Path 70 {4},3,12,45's - 49's,3
Path 70 {8},3,20,30's - 34's,71
Path 70 {10},3,20,40's - 44's,43
Path 70 {16},3,20,35's - 39's,50
Path 70 {40},3,9,40's - 44's,25
Path 70 {57},3,9,30's - 34's,31
Path 70 {122},3,9,45's - 49's,7
Path 70 {136},3,20,20's - 24's,25
Path 70 {136},3,9,25's - 29's,4
Path 70 {139},3,12,35's - 39's,6
Path 70 {272},3,12,40's - 44's,5
Path 70 {632},3,20,45's - 49's,3
Path 71 {4},3,9,25's - 29's,65
Path 71 {4},3,12,35's - 39's,20
Path 71 {4},3,20,40's - 44's,12
Path 71 {8},3,9,30's - 34's,63
Path 71 {17},3,9,45's - 49's,4
Path 71 {40},3,12,40's - 44's,14
Path 71 {53},3,9,35's - 39's,8
Path 71 {59},3,9,40's - 44's,31
Path 71 {87},3,9,20's - 24's,20
Path 71 {136},3,20,20's - 24's,5
Path 71 {139},3,12,30's - 34's,21
Path 71 {139},3,20,35's - 39's,8
Path 71 {159},3,12,45's - 49's,5
Path 71 {243},3,20,15's - 19's,2
Path 71 {413},3,12,25's - 29's,2
Path 71 {413},3,20,30's - 34's,2
Path 71 {664},3,20,45's - 49's,2
Path 72 {0},3,20,15's - 19's,115
Path 72 {3},3,20,30's - 34's,80
Path 72 {4},3,20,20's - 24's,62
Path 72 {4},3,9,30's - 34's,41
Path 72 {4},3,12,40's - 44's,19
Path 72 {6},3,20,40's - 44's,26
Path 72 {8},3,20,25's - 29's,66
Path 72 {27},3,20,35's - 39's,39
Path 72 {53},3,9,35's - 39's,16
Path 72 {59},3,9,45's - 49's,9
Path 72 {62},3,9,40's - 44's,24
Path 72 {80},3,20,45's - 49's,14
Path 72 {136},3,9,25's - 29's,32
Path 72 {136},3,12,30's - 34's,21
Path 72 {206},3,9,20's - 24's,2
Path 72 {206},3,12,25's - 29's,2
Path 72 {250},3,12,45's - 49's,3
Path 72 {387},3,12,35's - 39's,3
Path 73 {0},3,20,40's - 44's,50
Path 73 {4},3,20,30's - 34's,71
Path 73 {4},3,12,40's - 44's,25
Path 73 {14},3,20,35's - 39's,48
Path 73 {40},3,20,25's - 29's,70
Path 73 {136},3,20,20's - 24's,19
Path 73 {136},3,12,25's - 29's,2
Path 73 {136},3,9,35's - 39's,13
Path 73 {139},3,12,30's - 34's,16
Path 73 {139},3,9,40's - 44's,9
Path 73 {155},3,12,45's - 49's,4
Path 73 {284},3,12,35's - 39's,18
Path 73 {426},3,20,45's - 49's,3
Path 73 {565},3,9,45's - 49's,2
Path 74 {0},3,20,10's - 14's,24
Path 74 {0},3,9,30's - 34's,94
Path 74 {3},3,20,30's - 34's,75
Path 74 {3},3,9,40's - 44's,34
Path 74 {4},3,20,20's - 24's,131
Path 74 {4},3,9,25's - 29's,105
Path 74 {4},3,12,30's - 34's,95
Path 74 {6},3,20,35's - 39's,39
Path 74 {7},3,20,25's - 29's,111
Path 74 {10},3,20,15's - 19's,202
Path 74 {10},3,9,45's - 49's,6
Path 74 {20},3,9,35's - 39's,52
Path 74 {20},3,12,45's - 49's,7
Path 74 {28},3,12,35's - 39's,18
Path 74 {29},3,20,40's - 44's,24
Path 74 {57},3,9,20's - 24's,18
Path 74 {57},3,12,25's - 29's,12
Path 74 {66},3,20,45's - 49's,3
Path 74 {175},3,12,40's - 44's,15
Path 75 {0},3,20,10's - 14's,16
Path 75 {0},3,9,40's - 44's,42
Path 75 {3},3,9,30's - 34's,145
Path 75 {3},3,20,35's - 39's,27
Path 75 {4},3,20,20's - 24's,87
Path 75 {4},3,9,25's - 29's,172
Path 75 {4},3,12,30's - 34's,88
Path 75 {6},3,9,35's - 39's,50
Path 75 {6},3,20,40's - 44's,21
Path 75 {7},3,20,30's - 34's,49
Path 75 {10},3,20,15's - 19's,244
Path 75 {20},3,9,20's - 24's,40
Path 75 {28},3,12,35's - 39's,16
Path 75 {41},3,12,45's - 49's,8
Path 75 {57},3,12,25's - 29's,10
Path 75 {82},3,9,45's - 49's,8
Path 75 {155},3,12,40's - 44's,16
Path 75 {266},3,20,45's - 49's,3
Path 76 {0},3,20,20's - 24's,115
Path 76 {3},3,20,35's - 39's,47
Path 76 {4},3,20,25's - 29's,75
Path 76 {4},3,12,30's - 34's,38
Path 76 {4},3,9,35's - 39's,34
Path 76 {7},3,20,30's - 34's,79
Path 76 {18},3,20,40's - 44's,41
Path 76 {53},3,12,40's - 44's,21
Path 76 {62},3,12,45's - 49's,16
Path 76 {136},3,12,25's - 29's,22
Path 76 {136},3,9,30's - 34's,13
Path 76 {138},3,9,40's - 44's,19
Path 76 {170},3,12,35's - 39's,14
Path 76 {267},3,20,45's - 49's,3
Path 76 {293},3,20,15's - 19's,1
Path 76 {738},3,9,45's - 49's,1
Path 77 {0},3,20,20's - 24's,62
Path 77 {3},3,20,40's - 44's,52
Path 77 {4},3,20,25's - 29's,74
Path 77 {4},3,9,35's - 39's,25
Path 77 {4},3,12,45's - 49's,4
Path 77 {14},3,20,30's - 34's,70
Path 77 {16},3,20,35's - 39's,51
Path 77 {40},3,9,40's - 44's,27
Path 77 {122},3,9,45's - 49's,4
Path 77 {136},3,9,25's - 29's,6
Path 77 {136},3,12,35's - 39's,9
Path 77 {139},3,9,30's - 34's,20
Path 77 {196},3,12,40's - 44's,3
Path 77 {341},3,20,45's - 49's,3
Path 78 {0},3,9,30's - 34's,90
Path 78 {3},3,20,30's - 34's,76
Path 78 {3},3,9,40's - 44's,36
Path 78 {4},3,20,20's - 24's,137
Path 78 {4},3,9,25's - 29's,86
Path 78 {4},3,12,30's - 34's,71
Path 78 {5},3,20,15's - 19's,243
Path 78 {6},3,20,35's - 39's,34
Path 78 {7},3,20,25's - 29's,70
Path 78 {17},3,12,45's - 49's,11
Path 78 {29},3,20,45's - 49's,5
Path 78 {34},3,9,35's - 39's,27
Path 78 {40},3,9,20's - 24's,62
Path 78 {57},3,12,25's - 29's,42
Path 78 {62},3,12,40's - 44's,19
Path 78 {65},3,20,40's - 44's,21
Path 78 {96},3,9,45's - 49's,12
Path 78 {107},3,12,35's - 39's,10
Path 79 {4},3,20,35's - 39's,34
Path 79 {8},3,9,35's - 39's,24
Path 79 {10},3,9,45's - 49's,15
Path 79 {20},3,9,40's - 44's,32
Path 79 {57},3,20,30's - 34's,23
Path 79 {58},3,9,30's - 34's,29
Path 79 {87},3,9,25's - 29's,46
Path 79 {122},3,20,40's - 44's,19
Path 79 {136},3,20,20's - 24's,2
Path 79 {139},3,12,40's - 44's,5
Path 79 {156},3,20,45's - 49's,3
Path 79 {196},3,9,20's - 24's,8
Path 79 {206},3,12,35's - 39's,1
Path 79 {424},3,12,45's - 49's,5
Path 80 {4},3,9,30's - 34's,62
Path 80 {4},3,20,35's - 39's,34
Path 80 {24},3,9,35's - 39's,29
Path 80 {40},3,9,25's - 29's,63
Path 80 {40},3,20,40's - 44's,15
Path 80 {88},3,9,40's - 44's,27
Path 80 {136},3,20,20's - 24's,2
Path 80 {139},3,20,30's - 34's,22
Path 80 {139},3,12,40's - 44's,5
Path 80 {206},3,12,35's - 39's,2
Path 80 {354},3,9,20's - 24's,7
Path 80 {424},3,12,45's - 49's,1
Path 80 {508},3,20,45's - 49's,2
Path 81 {1},3,20,20's - 24's,62
Path 81 {4},3,20,25's - 29's,52
Path 81 {4},3,9,30's - 34's,33
Path 81 {14},3,20,15's - 19's,28
Path 81 {17},3,20,40's - 44's,20
Path 81 {28},3,20,30's - 34's,43
Path 81 {40},3,9,40's - 44's,8
Path 81 {59},3,20,35's - 39's,25
Path 81 {92},3,20,45's - 49's,2
Path 81 {122},3,9,45's - 49's,2
Path 81 {136},3,9,25's - 29's,8
Path 81 {139},3,12,40's - 44's,4
Path 81 {240},3,9,35's - 39's,12
Path 81 {272},3,12,45's - 49's,1
Path 81 {413},3,12,35's - 39's,1
Path 82 {4},3,20,25's - 29's,36
Path 82 {40},3,20,30's - 34's,30
Path 82 {53},3,20,40's - 44's,13
Path 82 {122},3,20,35's - 39's,9
Path 82 {139},3,9,35's - 39's,3
Path 82 {206},3,9,40's - 44's,3
Path 82 {413},3,20,20's - 24's,2
Path 82 {413},3,9,30's - 34's,2
Path 82 {843},3,9,45's - 49's,1
Path 83 {0},3,20,10's - 14's,21
Path 83 {0},3,9,30's - 34's,104
Path 83 {0},3,12,40's - 44's,37
Path 83 {3},3,20,25's - 29's,118
Path 83 {3},3,9,35's - 39's,68
Path 83 {4},3,20,15's - 19's,354
Path 83 {4},3,9,25's - 29's,142
Path 83 {4},3,12,30's - 34's,118
Path 83 {7},3,20,20's - 24's,101
Path 83 {10},3,12,45's - 49's,16
Path 83 {27},3,9,40's - 44's,55
Path 83 {29},3,20,35's - 39's,36
Path 83 {33},3,20,30's - 34's,56
Path 83 {40},3,9,20's - 24's,24
Path 83 {41},3,12,35's - 39's,31
Path 83 {74},3,20,40's - 44's,38
Path 83 {170},3,12,25's - 29's,17
Path 83 {267},3,9,45's - 49's,5
Path 83 {270},3,20,45's - 49's,4
Path 85 {0},3,9,20's - 24's,206
Path 85 {0},3,12,30's - 34's,218
Path 85 {1},3,20,10's - 14's,70
Path 85 {1},3,9,25's - 29's,251
Path 85 {2},3,20,15's - 19's,441
Path 85 {3},3,20,30's - 34's,85
Path 85 {3},3,12,40's - 44's,84
Path 85 {4},3,12,25's - 29's,51
Path 85 {5},3,9,40's - 44's,57
Path 85 {6},3,9,35's - 39's,125
