Realization,utility,infra.,period,UniqueCount
Path 11 {28},3,9,35's - 39's,94
Path 11 {58},3,9,30's - 34's,57
Path 11 {112},3,9,45's - 49's,20
Path 11 {139},3,12,40's - 44's,4
Path 11 {206},3,12,35's - 39's,1
Path 11 {272},3,12,45's - 49's,3
Path 11 {478},3,9,25's - 29's,5
Path 13 {4},3,9,30's - 34's,42
Path 13 {4},3,12,40's - 44's,13
Path 13 {53},3,9,40's - 44's,22
Path 13 {58},3,9,25's - 29's,42
Path 13 {87},3,9,35's - 39's,24
Path 13 {136},3,12,35's - 39's,11
Path 13 {139},3,12,30's - 34's,10
Path 13 {139},3,20,35's - 39's,5
Path 13 {155},3,9,45's - 49's,4
Path 13 {206},3,9,20's - 24's,2
Path 13 {272},3,20,45's - 49's,1
Path 13 {309},3,12,45's - 49's,2
Path 13 {424},3,20,40's - 44's,3
Path 14 {4},3,12,30's - 34's,55
Path 14 {4},3,9,35's - 39's,33
Path 14 {4},3,20,40's - 44's,16
Path 14 {40},3,9,40's - 44's,25
Path 14 {53},3,12,35's - 39's,16
Path 14 {57},3,12,25's - 29's,42
Path 14 {88},3,12,40's - 44's,16
Path 14 {135},3,12,45's - 49's,12
Path 14 {136},3,12,20's - 24's,3
Path 14 {136},3,9,30's - 34's,33
Path 14 {206},3,9,25's - 29's,1
Path 14 {206},3,20,35's - 39's,6
Path 14 {525},3,20,45's - 49's,2
Path 15 {0},3,20,10's - 14's,18
Path 15 {0},3,9,40's - 44's,28
Path 15 {3},3,20,25's - 29's,103
Path 15 {3},3,9,45's - 49's,7
Path 15 {4},3,20,20's - 24's,130
Path 15 {4},3,9,25's - 29's,96
Path 15 {4},3,12,30's - 34's,82
Path 15 {6},3,20,35's - 39's,20
Path 15 {10},3,20,15's - 19's,208
Path 15 {20},3,9,35's - 39's,34
Path 15 {22},3,20,30's - 34's,61
Path 15 {28},3,9,30's - 34's,73
Path 15 {28},3,12,35's - 39's,17
Path 15 {33},3,20,40's - 44's,21
Path 15 {57},3,9,20's - 24's,17
Path 15 {57},3,12,25's - 29's,13
Path 15 {82},3,20,45's - 49's,4
Path 15 {152},3,12,45's - 49's,6
Path 15 {155},3,12,40's - 44's,13
Path 16 {0},3,9,25's - 29's,292
Path 16 {0},3,12,40's - 44's,53
Path 16 {3},3,20,30's - 34's,69
Path 16 {3},3,12,45's - 49's,11
Path 16 {4},3,20,15's - 19's,285
Path 16 {4},3,9,20's - 24's,40
Path 16 {4},3,12,30's - 34's,106
Path 16 {5},3,20,10's - 14's,68
Path 16 {6},3,9,35's - 39's,80
Path 16 {7},3,20,25's - 29's,15
Path 16 {14},3,9,30's - 34's,142
Path 16 {15},3,9,40's - 44's,71
Path 16 {20},3,20,20's - 24's,36
Path 16 {20},3,12,35's - 39's,88
Path 16 {29},3,20,40's - 44's,32
Path 16 {79},3,20,35's - 39's,23
Path 16 {82},3,20,45's - 49's,6
Path 16 {171},3,9,45's - 49's,9
Path 17 {1},3,20,20's - 24's,163
Path 17 {3},3,20,30's - 34's,86
Path 17 {4},3,9,25's - 29's,66
Path 17 {4},3,12,30's - 34's,42
Path 17 {6},3,20,35's - 39's,29
Path 17 {8},3,9,30's - 34's,58
Path 17 {10},3,20,15's - 19's,105
Path 17 {10},3,9,45's - 49's,16
Path 17 {20},3,20,25's - 29's,74
Path 17 {20},3,9,40's - 44's,27
Path 17 {40},3,12,35's - 39's,13
Path 17 {53},3,12,40's - 44's,19
Path 17 {62},3,9,35's - 39's,11
Path 17 {79},3,20,40's - 44's,31
Path 17 {99},3,20,45's - 49's,3
Path 17 {122},3,12,45's - 49's,4
Path 17 {136},3,9,20's - 24's,17
Path 17 {136},3,12,25's - 29's,13
Path 18 {0},3,20,40's - 44's,48
Path 18 {4},3,20,30's - 34's,58
Path 18 {4},3,12,40's - 44's,27
Path 18 {4},3,9,45's - 49's,7
Path 18 {14},3,20,35's - 39's,52
Path 18 {40},3,20,25's - 29's,79
Path 18 {122},3,12,45's - 49's,9
Path 18 {136},3,20,20's - 24's,11
Path 18 {136},3,12,25's - 29's,4
Path 18 {136},3,9,30's - 34's,4
Path 18 {139},3,12,30's - 34's,20
