Realization	utility	week	infra.
0	0	887	30
1	0	887	30
3	0	1774	30
4	0	1408	30
5	0	2295	30
6	0	1461	30
7	0	1774	30
8	0	1565	30
10	0	887	30
14	0	887	30
15	0	1304	30
16	0	1513	30
17	0	887	30
18	0	1252	30
19	0	2035	30
20	0	1513	30
21	0	887	30
22	0	1930	30
23	0	1252	30
24	0	1461	30
25	0	1930	30
26	0	1617	30
27	0	1304	30
28	0	1617	30
29	0	2191	30
30	0	1878	30
31	0	1408	30
32	0	1878	30
33	0	1826	30
34	0	1669	30
35	0	1304	30
36	0	1304	30
38	0	1565	30
39	0	1722	30
40	0	887	30
41	0	1617	30
42	0	1617	30
43	0	1513	30
45	0	1565	30
46	0	2139	30
47	0	1878	30
49	0	1408	30
50	0	1982	30
53	0	1408	30
56	0	2243	30
57	0	1252	30
58	0	1513	30
59	0	1252	30
61	0	1408	30
62	0	1513	30
63	0	1617	30
64	0	2087	30
65	0	1722	30
66	0	1878	30
67	0	1617	30
68	0	1878	30
69	0	1722	30
71	0	1826	30
73	0	1930	30
75	0	1669	30
76	0	1878	30
79	0	1826	30
80	0	1356	30
81	0	1461	30
82	0	2087	30
83	0	1982	30
84	0	1408	30
86	0	2139	30
87	0	1252	30
88	0	1565	30
89	0	1722	30
90	0	1878	30
92	0	887	30
96	0	1878	30
98	0	1930	30
99	0	2191	30
101	0	1722	30
102	0	1617	30
103	0	1982	30
104	0	1513	30
106	0	1617	30
107	0	1252	30
108	0	1774	30
109	0	2243	30
110	0	1252	30
112	0	2035	30
113	0	887	30
114	0	1513	30
115	0	1878	30
116	0	1878	30
117	0	1878	30
118	0	1930	30
119	0	2035	30
120	0	1878	30
122	0	1252	30
123	0	1930	30
124	0	1252	30
125	0	1461	30
126	0	1252	30
127	0	1252	30
128	0	887	30
129	0	2087	30
131	0	1565	30
132	0	887	30
133	0	1826	30
134	0	1878	30
135	0	1304	30
136	0	887	30
137	0	1617	30
138	0	887	30
139	0	1304	30
141	0	1252	30
142	0	2243	30
143	0	1826	30
145	0	1878	30
146	0	1617	30
147	0	1565	30
148	0	1878	30
149	0	1252	30
150	0	1356	30
151	0	2139	30
152	0	1513	30
153	0	2087	30
154	0	1356	30
155	0	887	30
156	0	1252	30
158	0	1408	30
159	0	887	30
160	0	1617	30
161	0	1878	30
162	0	1774	30
164	0	1304	30
165	0	1408	30
166	0	1930	30
169	0	1252	30
170	0	1252	30
172	0	1774	30
173	0	1826	30
174	0	1722	30
175	0	1513	30
176	0	2191	30
179	0	1408	30
181	0	887	30
183	0	1304	30
185	0	1408	30
187	0	1669	30
189	0	1617	30
190	0	1982	30
192	0	1513	30
193	0	1513	30
196	0	887	30
198	0	1617	30
199	0	1252	30
200	0	1878	30
201	0	1826	30
202	0	1774	30
203	0	1722	30
204	0	1356	30
205	0	1826	30
206	0	887	30
207	0	1304	30
208	0	1617	30
210	0	1461	30
211	0	1930	30
212	0	1826	30
213	0	1930	30
215	0	1826	30
217	0	1878	30
218	0	1617	30
220	0	1826	30
221	0	1669	30
224	0	1826	30
225	0	1252	30
226	0	1356	30
228	0	1252	30
229	0	1617	30
230	0	887	30
231	0	887	30
232	0	1304	30
233	0	1878	30
235	0	1826	30
239	0	2191	30
240	0	1304	30
241	0	1617	30
242	0	1565	30
243	0	887	30
244	0	1252	30
245	0	2035	30
246	0	2243	30
248	0	887	30
249	0	887	30
250	0	887	30
251	0	1461	30
255	0	2035	30
256	0	1669	30
257	0	1878	30
258	0	887	30
259	0	887	30
260	0	2087	30
262	0	1669	30
264	0	2087	30
265	0	1356	30
266	0	1774	30
267	0	887	30
268	0	1722	30
269	0	1356	30
271	0	1565	30
272	0	1304	30
274	0	2087	30
275	0	1826	30
278	0	1878	30
279	0	2139	30
282	0	1826	30
283	0	1878	30
284	0	887	30
285	0	1826	30
286	0	1252	30
287	0	2087	30
288	0	1356	30
292	0	1826	30
293	0	887	30
294	0	1304	30
295	0	2139	30
296	0	1513	30
298	0	1722	30
299	0	1252	30
301	0	887	30
302	0	1669	30
303	0	887	30
304	0	887	30
306	0	887	30
308	0	2087	30
309	0	887	30
310	0	1408	30
312	0	2139	30
314	0	2243	30
315	0	1565	30
317	0	1826	30
318	0	1826	30
320	0	1878	30
321	0	1252	30
322	0	1304	30
323	0	2035	30
324	0	1878	30
325	0	2139	30
326	0	887	30
327	0	1826	30
329	0	1826	30
330	0	1617	30
331	0	1252	30
332	0	1513	30
333	0	887	30
334	0	2087	30
335	0	887	30
336	0	1356	30
339	0	1304	30
340	0	1878	30
341	0	1878	30
342	0	1304	30
343	0	887	30
344	0	2035	30
345	0	1513	30
346	0	1461	30
347	0	1565	30
348	0	1565	30
349	0	1304	30
350	0	2035	30
351	0	1513	30
352	0	1565	30
353	0	1304	30
354	0	887	30
356	0	1826	30
357	0	1982	30
358	0	1826	30
361	0	1461	30
364	0	1252	30
365	0	1930	30
366	0	1669	30
367	0	1408	30
368	0	887	30
369	0	1461	30
371	0	1304	30
372	0	1774	30
374	0	1878	30
375	0	1826	30
376	0	1513	30
377	0	1826	30
378	0	1878	30
379	0	1617	30
381	0	2139	30
382	0	2139	30
384	0	1774	30
385	0	1930	30
386	0	1461	30
387	0	1461	30
389	0	1252	30
390	0	887	30
391	0	1356	30
393	0	887	30
394	0	1878	30
396	0	887	30
397	0	1826	30
398	0	1513	30
399	0	1252	30
400	0	1408	30
402	0	1513	30
404	0	1982	30
405	0	2087	30
406	0	1408	30
407	0	1826	30
411	0	1252	30
412	0	1043	30
413	0	887	30
414	0	1513	30
415	0	1617	30
417	0	1408	30
418	0	1461	30
419	0	1461	30
420	0	1774	30
423	0	1774	30
424	0	1304	30
425	0	1513	30
426	0	1774	30
428	0	1252	30
429	0	1565	30
430	0	1356	30
431	0	834	30
432	0	1356	30
433	0	1617	30
434	0	1304	30
435	0	1252	30
436	0	1043	30
437	0	1252	30
438	0	1617	30
440	0	1774	30
442	0	1722	30
445	0	1252	30
447	0	1878	30
451	0	1617	30
452	0	1408	30
453	0	1043	30
455	0	1878	30
456	0	1878	30
457	0	1774	30
460	0	2139	30
461	0	1304	30
462	0	1461	30
463	0	1461	30
464	0	1774	30
465	0	1304	30
466	0	1252	30
467	0	1252	30
468	0	1252	30
469	0	887	30
471	0	2295	30
472	0	1304	30
