Realization	utility	week	infra.
0	0	678	29
0	0	991	30
1	0	678	29
1	0	991	30
2	0	574	29
3	0	1095	30
4	0	574	29
4	0	1148	30
5	0	521	29
5	0	1982	30
6	0	574	29
6	0	1722	30
7	0	834	30
8	0	1095	30
9	0	1878	30
10	0	521	29
10	0	887	30
11	0	2295	30
12	0	939	30
13	0	939	30
14	0	469	29
14	0	887	30
15	0	469	29
15	0	991	30
16	0	574	29
16	0	1148	30
17	0	574	29
17	0	887	30
18	0	521	29
18	0	991	30
19	0	1774	30
20	0	1095	30
21	0	417	29
21	0	834	30
22	0	730	30
23	0	521	29
23	0	991	30
24	0	469	29
24	0	991	30
25	0	1461	30
26	0	1252	30
27	0	469	29
27	0	1043	30
28	0	1148	30
29	0	1826	30
30	0	1148	30
31	0	574	29
31	0	1930	30
32	0	1043	30
33	0	1565	30
34	0	1252	30
35	0	574	29
35	0	991	30
36	0	574	29
36	0	1252	30
37	0	1878	30
38	0	1461	30
39	0	574	29
39	0	1408	30
40	0	574	29
40	0	887	30
41	0	1200	30
42	0	1148	30
43	0	521	29
43	0	1200	30
44	0	1461	30
45	0	1148	30
46	0	469	29
46	0	1826	30
47	0	1043	30
48	0	1878	30
49	0	521	29
49	0	1200	30
50	0	1408	30
51	0	1461	30
52	0	782	30
53	0	521	29
53	0	1095	30
55	0	574	29
56	0	1095	30
57	0	469	29
57	0	887	30
58	0	574	29
58	0	1148	30
59	0	521	29
59	0	991	30
60	0	939	30
61	0	991	30
62	0	574	29
62	0	1148	30
63	0	1148	30
64	0	1826	30
65	0	574	30
66	0	1148	30
67	0	1148	30
68	0	1304	30
69	0	678	30
71	0	1043	30
73	0	1513	30
74	0	2035	30
75	0	834	30
76	0	1252	30
77	0	1304	30
78	0	1200	30
79	0	1408	30
80	0	887	30
81	0	574	29
81	0	1982	30
82	0	1826	30
83	0	887	30
84	0	574	29
84	0	1930	30
85	0	1513	30
86	0	939	30
87	0	417	29
87	0	939	30
88	0	1148	30
89	0	1304	30
90	0	1200	30
92	0	521	29
92	0	939	30
93	0	1148	30
94	0	1669	30
95	0	1878	30
96	0	834	30
97	0	1095	30
98	0	1461	30
99	0	887	30
100	0	1148	30
101	0	1408	30
102	0	1252	30
103	0	730	30
104	0	991	30
105	0	2087	30
106	0	574	30
107	0	574	29
107	0	939	30
108	0	574	29
108	0	1408	30
109	0	1095	30
110	0	574	29
110	0	991	30
111	0	574	29
111	0	1982	30
112	0	1722	30
113	0	469	29
113	0	939	30
114	0	1826	30
115	0	1304	30
116	0	1304	30
117	0	1252	30
118	0	1095	30
119	0	1148	30
120	0	1513	30
121	0	1095	30
122	0	730	29
122	0	1043	30
123	0	1826	30
124	0	782	30
125	0	521	29
125	0	1148	30
126	0	469	29
126	0	939	30
127	0	574	29
127	0	991	30
128	0	521	29
128	0	887	30
129	0	1043	30
130	0	574	29
131	0	1095	30
132	0	574	29
132	0	939	30
133	0	574	29
133	0	1408	30
134	0	1513	30
135	0	521	29
135	0	1200	30
136	0	469	29
136	0	834	30
137	0	1200	30
138	0	574	29
138	0	887	30
139	0	834	30
140	0	1565	30
141	0	521	29
141	0	991	30
142	0	1826	30
143	0	1148	30
145	0	1095	30
146	0	574	29
146	0	1304	30
147	0	1148	30
148	0	1148	30
149	0	574	29
149	0	939	30
150	0	521	29
150	0	1304	30
151	0	678	30
152	0	574	29
152	0	1148	30
153	0	1826	30
154	0	574	29
154	0	1095	30
155	0	521	29
155	0	887	30
156	0	521	29
156	0	939	30
158	0	574	29
158	0	1252	30
159	0	574	29
159	0	887	30
160	0	1200	30
161	0	1408	30
162	0	887	30
163	0	887	30
164	0	521	29
164	0	1930	30
165	0	574	29
165	0	1095	30
166	0	1669	30
167	0	1043	30
169	0	730	29
169	0	1043	30
170	0	574	29
170	0	939	30
171	0	730	30
172	0	991	30
173	0	1148	30
174	0	678	30
175	0	1095	30
176	0	521	29
176	0	1878	30
177	0	1565	30
178	0	1930	30
179	0	574	29
179	0	1252	30
180	0	991	30
181	0	521	29
181	0	887	30
182	0	574	30
183	0	521	29
183	0	1200	30
184	0	887	30
185	0	939	30
186	0	2035	30
187	0	574	30
188	0	887	30
189	0	1200	30
190	0	1043	30
191	0	730	29
191	0	1043	30
192	0	1095	30
193	0	1200	30
196	0	469	29
196	0	887	30
198	0	1148	30
199	0	521	29
199	0	991	30
200	0	1043	30
201	0	1513	30
202	0	782	30
203	0	626	30
204	0	521	29
204	0	1148	30
205	0	1148	30
206	0	521	29
206	0	834	30
207	0	574	29
207	0	991	30
208	0	521	29
208	0	1252	30
209	0	2035	30
