Realization	utility	week	infra.
0	0	678	29
0	0	991	30
1	0	678	29
1	0	991	30
2	0	521	29
3	0	730	29
3	0	1878	30
4	0	626	29
4	0	1826	30
5	0	626	29
6	0	678	29
7	0	730	29
7	0	1774	30
8	0	730	29
9	0	730	29
10	0	574	29
11	0	730	29
12	0	730	29
13	0	730	29
14	0	521	29
15	0	521	29
16	0	626	29
17	0	626	29
18	0	574	29
19	0	730	29
20	0	574	29
20	0	2295	30
21	0	521	29
22	0	730	29
23	0	574	29
24	0	521	29
25	0	730	29
26	0	574	29
27	0	521	29
28	0	730	29
29	0	730	29
30	0	730	29
30	0	2243	30
31	0	678	29
32	0	730	29
32	0	1826	30
33	0	574	29
34	0	730	29
35	0	626	29
36	0	678	29
37	0	730	29
38	0	678	29
39	0	626	29
40	0	626	29
40	0	2087	30
41	0	730	29
41	0	2243	30
42	0	730	29
43	0	521	29
44	0	730	29
45	0	730	29
46	0	521	29
47	0	730	29
48	0	730	29
49	0	574	29
50	0	730	29
51	0	730	29
52	0	730	29
53	0	521	29
53	0	1982	30
54	0	730	29
55	0	730	29
56	0	730	29
57	0	521	29
57	0	1774	30
58	0	678	29
59	0	574	29
60	0	730	29
61	0	678	29
62	0	626	29
62	0	2295	30
63	0	678	29
64	0	730	29
65	0	678	29
66	0	730	29
66	0	2191	30
67	0	730	29
68	0	730	29
69	0	730	29
70	0	626	29
71	0	730	29
71	0	2295	30
72	0	730	29
73	0	730	29
74	0	730	29
75	0	678	29
76	0	730	29
77	0	730	29
78	0	730	29
79	0	730	29
80	0	678	29
81	0	574	29
82	0	730	29
83	0	730	29
84	0	626	29
85	0	730	29
86	0	730	29
87	0	521	29
87	0	1982	30
88	0	730	29
89	0	730	29
90	0	730	29
91	0	678	29
92	0	574	29
93	0	730	29
94	0	730	29
95	0	730	29
96	0	730	29
96	0	1982	30
97	0	730	29
98	0	730	29
99	0	730	29
99	0	2191	30
100	0	730	29
101	0	730	29
102	0	678	29
103	0	678	29
104	0	521	29
105	0	730	29
106	0	730	29
106	0	1982	30
107	0	626	29
107	0	2295	30
108	0	626	29
109	0	730	29
110	0	626	29
111	0	730	29
112	0	626	29
113	0	521	29
114	0	730	29
115	0	730	29
116	0	730	29
116	0	2243	30
117	0	730	29
118	0	730	29
119	0	730	29
119	0	2035	30
120	0	730	29
121	0	730	29
122	0	678	29
122	0	2295	30
123	0	730	29
124	0	678	29
125	0	574	29
126	0	521	29
127	0	626	29
128	0	574	29
129	0	730	29
130	0	521	29
131	0	626	29
131	0	2035	30
132	0	626	29
133	0	574	29
134	0	730	29
135	0	574	29
136	0	521	29
136	0	1148	30
137	0	730	29
138	0	626	29
138	0	2139	30
139	0	678	29
139	0	1878	30
140	0	730	29
141	0	574	29
141	0	1826	30
142	0	730	29
143	0	730	29
143	0	2191	30
144	0	730	29
145	0	730	29
145	0	2139	30
146	0	626	29
147	0	626	29
148	0	730	29
149	0	626	29
149	0	2295	30
150	0	521	29
150	0	2295	30
151	0	730	29
151	0	2191	30
152	0	574	29
152	0	2191	30
153	0	678	29
154	0	626	29
155	0	574	29
155	0	2295	30
156	0	574	29
157	0	730	29
158	0	521	29
159	0	626	29
159	0	2191	30
160	0	730	29
161	0	730	29
162	0	730	29
163	0	730	29
164	0	521	29
165	0	678	29
166	0	730	29
167	0	730	29
168	0	730	29
169	0	678	29
170	0	626	29
171	0	678	29
172	0	730	29
173	0	730	29
174	0	730	29
175	0	574	29
175	0	2191	30
176	0	574	29
177	0	730	29
178	0	730	29
179	0	626	29
180	0	730	29
181	0	574	29
182	0	730	29
183	0	521	29
183	0	2295	30
184	0	730	29
185	0	730	29
186	0	730	29
187	0	730	29
188	0	730	29
189	0	730	29
189	0	2191	30
190	0	730	29
191	0	678	29
192	0	678	29
193	0	730	29
194	0	678	29
195	0	730	29
196	0	521	29
196	0	1565	30
197	0	730	29
198	0	730	29
199	0	574	29
199	0	2295	30
200	0	730	29
200	0	1930	30
201	0	730	29
202	0	730	29
202	0	2243	30
203	0	469	29
204	0	574	29
205	0	730	29
205	0	2139	30
206	0	574	29
206	0	1722	30
207	0	626	29
208	0	574	29
209	0	730	29
210	0	469	29
211	0	730	29
212	0	730	29
213	0	730	29
214	0	730	29
215	0	730	29
216	0	730	29
217	0	730	29
218	0	626	29
219	0	730	29
220	0	730	29
221	0	730	29
222	0	730	29
223	0	730	29
224	0	730	29
224	0	1982	30
225	0	626	29
225	0	1930	30
226	0	521	29
227	0	678	29
228	0	574	29
229	0	678	29
230	0	521	29
231	0	521	29
232	0	626	29
233	0	730	29
233	0	2035	30
