Realization	utility	week	infra.
0	0	1252	29
1	0	2087	29
3	0	1826	29
4	0	1356	29
4	0	2295	30
5	0	2295	29
6	0	1878	29
7	0	1722	29
8	0	1461	29
10	0	1774	29
14	0	1252	29
15	0	1774	29
16	0	1461	29
17	0	1774	29
18	0	1878	29
20	0	1565	29
21	0	1878	29
22	0	2295	29
23	0	1513	29
24	0	1513	29
26	0	1774	29
27	0	1513	29
28	0	1513	29
29	0	2295	29
30	0	2139	29
31	0	2191	29
32	0	1774	29
33	0	2139	29
34	0	1669	29
35	0	1513	29
36	0	1565	29
39	0	1722	29
40	0	1148	29
41	0	1617	29
42	0	1565	29
43	0	1513	29
45	0	1565	29
46	0	1982	29
49	0	1461	29
53	0	1304	29
57	0	1148	29
58	0	1408	29
59	0	1356	29
62	0	1461	29
63	0	1617	29
65	0	1930	29
66	0	2087	29
67	0	1565	29
69	0	1669	29
71	0	1930	29
75	0	1722	29
79	0	1930	29
80	0	1878	29
81	0	2243	29
82	0	2191	29
84	0	2139	29
87	0	1200	29
88	0	1565	29
89	0	1774	29
92	0	1722	29
95	0	2295	29
96	0	1878	29
99	0	2139	29
102	0	1878	29
104	0	1461	29
106	0	1513	29
107	0	1356	29
110	0	1356	29
111	0	2243	29
113	0	1356	29
116	0	2243	29
117	0	2295	29
119	0	2035	29
122	0	1252	29
124	0	1565	29
125	0	1356	29
126	0	1252	29
127	0	1356	29
128	0	1200	29
131	0	1461	29
132	0	2139	29
133	0	2035	29
134	0	2035	29
135	0	1565	29
136	0	1095	29
137	0	1669	29
138	0	1148	29
139	0	1252	29
139	0	2139	30
141	0	1200	29
143	0	2087	29
145	0	1930	29
146	0	1617	29
147	0	1617	29
149	0	1200	29
150	0	1617	29
151	0	2139	29
152	0	1461	29
154	0	1304	29
155	0	1356	29
156	0	1304	29
158	0	1461	29
159	0	1148	29
160	0	1669	29
162	0	1669	29
164	0	2087	29
165	0	1356	29
170	0	1200	29
172	0	1722	29
174	0	1774	29
175	0	1565	29
176	0	2139	29
179	0	1513	29
181	0	2191	29
183	0	1513	29
185	0	1408	29
187	0	1669	29
189	0	1565	29
192	0	1513	29
193	0	1774	29
196	0	1095	29
196	0	2087	30
198	0	1513	29
199	0	1356	29
200	0	1878	29
202	0	1774	29
203	0	1722	29
204	0	1565	29
205	0	2087	29
206	0	1095	29
206	0	1982	30
207	0	1461	29
208	0	1565	29
217	0	2243	29
218	0	1617	29
221	0	1722	29
224	0	1930	29
225	0	1200	29
226	0	1356	29
227	0	2295	29
228	0	1304	29
229	0	1617	29
230	0	2087	29
231	0	1982	29
232	0	1304	29
233	0	1982	29
240	0	1304	29
241	0	1513	29
242	0	1513	29
243	0	1148	29
244	0	1513	29
245	0	2087	29
248	0	1722	29
249	0	2035	29
250	0	1200	29
251	0	1774	29
253	0	2191	29
256	0	1774	29
257	0	1982	29
258	0	1722	29
259	0	1878	29
260	0	1878	29
262	0	1617	29
264	0	1930	29
266	0	1774	29
267	0	2087	29
268	0	1669	29
269	0	1356	29
271	0	1513	29
272	0	1200	29
272	0	2191	30
280	0	2139	29
283	0	1930	29
284	0	1095	29
285	0	1774	29
286	0	1304	29
293	0	1095	29
295	0	2139	29
296	0	1565	29
301	0	1461	29
302	0	1617	29
303	0	1095	29
304	0	1826	29
306	0	1252	29
309	0	1148	29
310	0	1356	29
312	0	2139	29
315	0	1565	29
322	0	1982	29
326	0	1826	29
327	0	1774	29
330	0	1565	29
331	0	1982	29
332	0	1461	29
333	0	1565	29
335	0	1461	29
336	0	1722	29
339	0	1982	29
341	0	1826	29
342	0	1200	29
343	0	1252	29
345	0	1461	29
346	0	1356	29
348	0	1513	29
349	0	1252	29
352	0	1565	29
354	0	1095	29
356	0	1930	29
358	0	1826	29
361	0	1774	29
364	0	2295	29
366	0	1722	29
367	0	2087	29
368	0	1095	29
369	0	1356	29
371	0	1930	29
372	0	2295	29
374	0	2295	29
376	0	2295	29
377	0	2191	29
379	0	1617	29
381	0	2191	29
382	0	2035	29
384	0	2087	29
387	0	1356	29
390	0	1408	29
391	0	1513	29
392	0	2243	29
393	0	1356	29
396	0	1148	29
397	0	1878	29
399	0	1513	29
400	0	2139	29
402	0	1565	29
404	0	2139	29
405	0	2295	29
406	0	1461	29
410	0	2191	29
411	0	1200	29
412	0	1148	29
412	0	2139	30
413	0	1095	29
414	0	1513	29
415	0	1565	29
417	0	1826	29
418	0	1356	29
419	0	1356	29
420	0	1930	29
423	0	1669	29
424	0	1252	29
424	0	2243	30
425	0	2087	29
426	0	1722	29
429	0	1565	29
430	0	1774	29
431	0	1252	29
432	0	1356	29
433	0	1722	29
434	0	1304	29
435	0	1304	29
436	0	1200	29
437	0	1930	29
438	0	1513	29
440	0	2243	29
442	0	1878	29
445	0	1774	29
446	0	2295	29
451	0	1513	29
452	0	2243	29
453	0	1148	29
455	0	1826	29
456	0	2295	29
460	0	2035	29
461	0	1408	29
462	0	1930	29
463	0	1356	29
464	0	1826	29
465	0	1930	29
466	0	1408	29
467	0	1878	29
468	0	1982	29
469	0	1148	29
471	0	2243	29
472	0	1826	29
473	0	1826	29
474	0	1304	29
475	0	2295	29
481	0	1356	29
486	0	2087	29
487	0	1930	29
489	0	1148	29
490	0	1565	29
491	0	1930	29
492	0	1722	29
495	0	1565	29
496	0	1565	29
500	0	1148	29
501	0	2243	29
502	0	2035	29
503	0	1095	29
503	0	2191	30
508	0	1252	29
512	0	1617	29
514	0	1774	29
515	0	1304	29
516	0	2191	29
517	0	2139	29
519	0	1461	29
520	0	2191	29
521	0	1252	29
522	0	1513	29
523	0	1617	29
525	0	1356	29
527	0	2139	29
528	0	1408	29
529	0	1148	29
530	0	1930	29
531	0	1722	29
534	0	1200	29
536	0	2295	29
537	0	1617	29
538	0	1408	29
539	0	2295	29
541	0	1930	29
543	0	1774	29
544	0	1408	29
547	0	1408	29
550	0	1148	29
551	0	1200	29
553	0	1982	29
554	0	1252	29
555	0	1148	29
555	0	2243	30
556	0	1565	29
558	0	2139	29
559	0	1774	29
562	0	1722	29
563	0	1513	29
564	0	2295	29
565	0	1252	29
565	0	2295	30
568	0	1252	29
571	0	1669	29
575	0	1095	29
576	0	2295	29
577	0	1356	29
578	0	2295	29
581	0	1774	29
582	0	2035	29
583	0	1148	29
584	0	2035	29
585	0	1095	29
586	0	1513	29
587	0	1095	29
588	0	1669	29
589	0	1513	29
590	0	1513	29
594	0	2087	29
595	0	1200	29
596	0	1617	29
598	0	1722	29
599	0	1774	29
604	0	1774	29
606	0	1565	29
607	0	1408	29
608	0	1513	29
611	0	2035	29
612	0	1878	29
621	0	1669	29
626	0	1461	29
627	0	1617	29
628	0	1722	29
630	0	2035	29
631	0	1513	29
632	0	1304	29
639	0	1304	29
645	0	1617	29
646	0	1304	29
648	0	2035	29
649	0	1565	29
650	0	2295	29
652	0	1669	29
653	0	1669	29
655	0	1826	29
656	0	1722	29
658	0	1356	29
659	0	2139	29
661	0	1513	29
662	0	1617	29
664	0	1408	29
665	0	1565	29
666	0	1826	29
668	0	1982	29
669	0	1878	29
670	0	1930	29
672	0	2295	29
674	0	1617	29
675	0	1722	29
676	0	1252	29
677	0	1565	29
678	0	1826	29
680	0	1669	29
682	0	1982	29
684	0	1669	29
688	0	2243	29
691	0	1356	29
692	0	1408	29
693	0	1513	29
694	0	1669	29
695	0	1826	29
697	0	1513	29
698	0	2295	29
701	0	1617	29
703	0	1408	29
705	0	1982	29
706	0	1878	29
707	0	2191	29
708	0	1930	29
709	0	1461	29
710	0	1356	29
711	0	1826	29
714	0	1669	29
715	0	2191	29
716	0	1148	29
717	0	1669	29
718	0	1356	29
721	0	1669	29
722	0	1095	29
725	0	1513	29
726	0	1513	29
729	0	2295	29
731	0	1930	29
733	0	1408	29
734	0	1565	29
737	0	1461	29
738	0	1356	29
742	0	1200	29
743	0	1774	29
744	0	1826	29
750	0	2295	29
752	0	1669	29
753	0	1304	29
754	0	1408	29
755	0	1826	29
756	0	1252	29
758	0	1304	29
761	0	2035	29
762	0	1722	29
763	0	1930	29
765	0	1878	29
767	0	2035	29
774	0	1252	29
776	0	1200	29
778	0	2087	29
781	0	1513	29
782	0	2243	29
784	0	1878	29
787	0	2243	29
788	0	1826	29
789	0	1774	29
790	0	2087	29
793	0	1565	29
794	0	2035	29
797	0	2243	29
798	0	2087	29
801	0	2139	29
802	0	1722	29
803	0	1513	29
804	0	1930	29
807	0	1095	29
810	0	1408	29
811	0	1930	29
812	0	1356	29
816	0	2191	29
818	0	1774	29
821	0	2191	29
822	0	1669	29
823	0	1148	29
824	0	1722	29
825	0	1722	29
826	0	2087	29
828	0	2139	29
831	0	1356	29
832	0	1252	29
834	0	1356	29
835	0	2295	29
837	0	2191	29
838	0	1408	29
839	0	2191	29
840	0	1095	29
842	0	1774	29
843	0	1148	29
843	0	2243	30
847	0	1930	29
848	0	1148	29
850	0	1252	29
854	0	1722	29
858	0	1617	29
863	0	1356	29
864	0	1200	29
865	0	1826	29
866	0	1617	29
868	0	1826	29
869	0	1617	29
871	0	1982	29
873	0	1200	29
875	0	1669	29
877	0	1095	29
878	0	2139	29
879	0	2295	29
880	0	1356	29
884	0	2087	29
885	0	1200	29
886	0	2295	29
890	0	1982	29
891	0	2243	29
895	0	2035	29
897	0	1461	29
898	0	1304	29
899	0	1304	29
900	0	2139	29
901	0	2139	29
902	0	1565	29
903	0	1408	29
908	0	1565	29
910	0	2139	29
913	0	2087	29
914	0	1617	29
916	0	1356	29
917	0	2191	29
922	0	2087	29
924	0	1304	29
926	0	1513	29
927	0	1722	29
929	0	1565	29
931	0	1200	29
932	0	1930	29
933	0	1982	29
935	0	1930	29
936	0	2295	29
938	0	1982	29
940	0	1461	29
941	0	1252	29
942	0	1200	29
944	0	1982	29
946	0	1930	29
947	0	1252	29
948	0	1565	29
949	0	1095	29
950	0	1356	29
953	0	1356	29
954	0	1304	29
960	0	1722	29
961	0	1722	29
963	0	2139	29
964	0	1304	29
965	0	2295	29
966	0	1774	29
968	0	2035	29
969	0	1669	29
971	0	1565	29
972	0	1095	29
976	0	1513	29
978	0	1461	29
979	0	1982	29
981	0	1617	29
984	0	1878	29
985	0	1774	29
988	0	2087	29
989	0	2139	29
995	0	1513	29
998	0	1356	29
0	1	1252	29
1	1	2087	29
3	1	1826	29
4	1	1356	29
4	1	2295	30
5	1	2295	29
6	1	1878	29
7	1	1722	29
