O_REL,O_RF,O_NPC,O_PFC,O_WCC,O_UC,D_REL,D_RF,D_NPC,D_PFC,D_WCC,D_UC,Ch_REL,Ch_RF,Ch_NPC,Ch_PFC,Ch_WCC,CH_UC,P_REL,P_RF,P_NPC,P_PFC,P_WCC,P_UC
1,0,60.786047,0.304396,0,20.375389,0.994,0.005067,140.012686,0.125255,0.08063,117.467039,1,0.060067,8.982714,0.160337,0,5.094802,1,0.030889,29.891533,0.39586,0.141389,10.766455
1,0,42.373701,0.261782,0,30.930288,0.977,0.008111,155.445161,0.232236,0,225.776654,1,0,18.293744,0.336494,0,16.595273,0.999,0,43.154835,0.386496,0.00601,186.906501
1,0,54.562533,0.290488,0,1.043283,0.986,0.097956,67.383824,0.102166,0,0.350546,1,0.139733,26.442998,0.450236,0.011303,4.566811,1,0.040556,68.015907,0.54507,0.12568,218.366669
1,0,40.471419,0.200801,0,0.802765,0.98,0.002778,85.667861,0.151864,0,0.461508,1,0,43.065069,0.762358,0,13.050359,1,0,76.974306,0.682262,0.022337,2.280411
1,0,45.201788,0.278664,0,44.445034,0.99,0.000933,152.029774,0.216945,0,66.343698,1,0.022689,30.119995,0.548075,0,62.025556,1,0.0344,25.064187,0.26249,0.0919,10.248657
0.995,0.001089,1.826668,0.028216,0,0.053393,0.994,0.052511,174.380879,0.195747,0,38.348985,1,0.034067,42.547388,0.711764,0,25.231319,1,0.024978,62.849852,0.670198,0.086016,220.25104
1,0.000044,20.592914,0.188701,0,2.506062,0.981,0.000733,70.527104,0.124667,0,62.466523,1,0.085867,75.616695,1.249327,0,40.382316,1,0.069822,64.402668,0.636544,0.524201,58.84012
1,0,68.075829,0.331294,0,1.493007,0.985,0.007756,62.916063,0.118941,0,0.377672,1,0.191578,4.535911,0.113895,0.137456,0.885058,1,0.317711,43.713922,0.384577,1.70747,1.209479
1,0,44.810582,0.298763,0,50.910971,0.996,0.022933,208.59078,0.238977,0,128.7452,1,0.0474,13.129041,0.236986,0,6.940916,1,0.028311,25.825098,0.298385,0.063759,7.276789
0.998,0,28.849276,0.120383,0,0.681756,0.953,0,131.241072,0.165513,0,10.972964,1,0,122.777427,2.171236,0,52.84474,0.972,0,29.592371,0.415926,0.011766,89.137856
1,0,45.834454,0.188215,0,1.016104,0.986,0.002289,132.935419,0.162562,0,0.814987,1,0.157911,19.348232,0.293127,0.144717,3.160552,1,0.058067,27.482185,0.360117,0.20446,69.250649
1,0,43.118927,0.293363,0,59.122945,0.994,0.016889,166.872383,0.204603,0,184.595715,1,0.044533,9.507955,0.208711,0,9.901788,1,0.024622,63.538317,0.76157,0,80.064014
1,0,60.433998,0.327304,0,1.502549,0.992,0.0374,133.303775,0.183496,0,11.760691,1,0,13.864656,0.323691,0,16.323954,1,0,31.176898,0.356336,0.015051,76.904348
0.999,0,45.848893,0.237385,0,0.850234,0.971,0.049311,89.873138,0.147271,0,0.454954,1,0.176333,34.507492,0.635275,0,6.085656,0.98,0.024756,57.979563,0.412233,0,19.220082
0.999,0,52.846789,0.251478,0,64.160259,0.989,0.001067,96.10835,0.106278,0,0.846535,1,0.037822,47.946567,0.879063,0,81.731227,0.999,0.030178,77.010507,0.79059,0.023773,64.979148
1,0,43.807235,0.218361,0,1.270912,0.992,0.039578,139.664157,0.172655,0,1.121133,1,0,29.890449,0.50642,0,21.226468,1,0,30.403654,0.332985,0.001368,3.404756
0.996,0,41.502401,0.147174,0.457506,0.500632,0.95,0.057511,57.40085,0.041113,0.30015,0.165949,1,0,25.608844,0.482772,0.07558,2.327928,1,0,69.356892,0.551169,0.034732,10.335111
1,0,54.524624,0.277225,0,1.533598,0.985,0.003444,180.686982,0.212318,0,107.954151,1,0,40.628141,0.703465,0,9.15191,1,0,37.072527,0.433231,0,114.611534
1,0,46.407397,0.214531,0,1.375867,0.99,0.0046,155.380827,0.205234,0,1.273378,1,0.040356,17.587826,0.302927,0.075242,19.640671,1,0.036133,33.55858,0.378425,0.054076,3.452892
1,0,50.695515,0.300979,0,1.392079,0.988,0.000156,117.778481,0.14454,0,66.916612,1,0.068511,28.548737,0.431532,0,7.671998,0.999,0.037333,49.916793,0.549828,0.398381,113.580478
1,0,60.107261,0.306406,0,53.188948,0.991,0.008156,163.708767,0.15044,0.112418,168.032359,1,0.057956,16.624998,0.331586,0,21.536414,1,0.054844,25.018215,0.272096,0.560268,8.877768
1,0,47.660909,0.263016,0,52.231894,0.995,0.025622,127.893316,0.17197,0,24.526572,1,0.036,26.495551,0.48432,0,72.85071,1,0.028444,57.719667,0.670248,0,88.43668
1,0,66.583935,0.341134,0,432.528708,0.983,0.000022,70.166559,0.131072,0,582.567504,1,0,26.152753,0.411703,0.001228,136.294084,0.996,0,66.56246,0.787501,0.025987,413.688796
1,0,46.259909,0.251161,0,74.519214,0.991,0.003,129.990234,0.172817,0,147.972755,1,0.025289,30.133981,0.54737,0.074586,163.588227,1,0.035333,43.541774,0.511546,0.124852,175.595106
1,0,53.777481,0.243181,0,1.52382,0.997,0.003622,137.226322,0.155969,0.086326,66.462508,1,0.067,17.302221,0.277804,0.007655,4.886943,0.999,0.026911,29.521504,0.377299,0.066393,22.868432
1,0,55.004516,0.32444,0,1.326856,0.99,0.015422,137.656244,0.130322,0.00325,0.916462,1,0.066489,30.705175,0.627523,0,26.923817,1,0.025778,55.183761,0.559642,0.039061,17.087861
1,0,58.881463,0.353436,0,60.0452,0.99,0.000356,115.5219,0.1689,0,88.811555,1,0.057933,35.338894,0.564352,0,18.901652,0.997,0.026711,47.714097,0.546658,0.001949,51.31283
0.997,0.000733,44.366712,0.198412,0,0.575775,0.909,0.019533,69.068827,0.152254,0,0.240464,1,0.293711,23.281451,0.386983,0.535174,3.088189,1,0.0328,66.431695,0.397333,0.594315,218.007613
1,0,10.922081,0.078832,0,0.308749,0.996,0.002822,178.395711,0.220346,0,1.394599,1,0,39.556831,0.676811,0.052649,21.507063,0.993,0,50.325408,0.592713,0.011094,4.508379
1,0,45.711244,0.283872,0,83.293123,0.996,0.002244,133.584611,0.183708,0,446.105523,1,0.026467,10.529128,0.155106,0.054822,21.656795,1,0.026422,46.304591,0.615422,0.00803,245.938413
0.997,0,31.363471,0.214674,0,0.317067,0.938,0.039756,51.931937,0.116502,0,0.140184,1,0,43.604907,0.794124,0,6.691488,1,0,79.309579,0.446699,0,7.220156
0.993,0.0014,11.228167,0.053561,0,0.078175,0.969,0.798133,55.085587,0.101732,0.522951,0.11053,1,0.511733,2.218838,0.134459,0.277391,0.143663,1,0.6116,22.324394,0.083026,5.243742,0.142537
1,0,62.293257,0.337179,0,256.324991,0.991,0.000489,122.506522,0.198944,0,611.781978,1,0.025133,32.201833,0.572333,0,133.933017,1,0.032844,38.525302,0.463492,0.10065,64.904052
1,0,40.864844,0.291733,0,1.223958,0.987,0.001378,115.032197,0.105623,0.036047,0.950565,1,0.029667,31.418129,0.548691,0,36.232394,1,0.040822,47.271331,0.592511,0,4.12068
1,0,74.040248,0.368865,0,2.201255,0.985,0.0014,138.431771,0.170436,0,58.338268,1,0.062489,8.928028,0.134574,0,1.707127,1,0.109933,38.430638,0.276597,0.288859,1.097998
1,0,61.904863,0.350067,0,1.658654,0.986,0.0006,121.407423,0.204291,0,66.954848,1,0.089533,18.606385,0.330607,0,6.620647,1,0.041933,28.58098,0.384206,0.087031,11.237691
1,0,47.732434,0.313155,0,1.348193,0.983,0.002178,161.847135,0.203609,0,1.277356,1,0.055178,15.101284,0.342289,0,16.560765,0.999,0.033489,21.329985,0.247632,0.331389,2.462985
