O_REL,O_RF,O_NPC,O_PFC,O_WCC,O_UC,D_REL,D_RF,D_NPC,D_PFC,D_WCC,D_UC,Ch_REL,Ch_RF,Ch_NPC,Ch_PFC,Ch_WCC,CH_UC,P_REL,P_RF,P_NPC,P_PFC,P_WCC,P_UC
1,0,71.395343,0.388679,0,886.990854,0.996,0.013778,139.153291,0.162616,0,1953.938147,1,0.021511,18.060854,0.256184,0.083452,106.539863,1,0.031356,32.562997,0.385608,0.294731,65.702398
1,0,68.331309,0.319117,0,7.567098,0.991,0.000467,152.646342,0.233862,0,72.080505,1,0.041111,13.946418,0.305063,0,7.28112,1,0.066867,29.715541,0.381221,0.221623,4.483695
0.998,0.000067,26.017635,0.09876,0.434226,0.296015,0.928,0.0008,78.052906,0.1584,0,0.24127,1,0.406311,14.849699,0.285493,0.094005,0.808166,1,0.156356,70.681392,0.383134,0.14096,5.255811
1,0,58.800257,0.318816,0,1.640038,0.991,0.000022,129.329228,0.150394,0,36.314128,1,0.075711,8.058881,0.139595,0,2.487704,1,0.064822,33.561138,0.326731,0.225153,1.667295
1,0,76.923946,0.36281,0,100.661971,0.995,0.001133,114.359815,0.188904,0,10.327684,1,0.029222,21.110871,0.384679,0,50.426457,1,0.046267,29.604571,0.38645,0.017107,20.376474
0.997,0,82.956877,0.425311,0,1.449055,0.962,0.124467,43.126374,0.133628,0,0.204956,1,0,102.831949,1.76288,0,17.012444,0.957,0,53.73051,0.386061,0.002402,1.683422
0.999,0.000689,19.153376,0.134157,0,30.925864,0.985,0.000022,109.835793,0.157301,0,135.470863,1,0.028689,55.629995,1.049367,0,163.912234,0.999,0.024022,90.052051,1.162526,0,317.975504
1,0,52.676237,0.267896,0,1.104557,0.984,0.003067,98.445422,0.097187,0,0.618612,1,0.057267,45.37683,0.769472,0,19.949164,1,0.038422,68.444627,0.715071,0.001974,7.939769
1,0,36.676323,0.23792,0,18.416566,0.989,0.004556,131.161799,0.210246,0,199.892401,1,0.030267,45.470041,0.715839,0,20.288484,1,0.025111,48.423419,0.629504,0.019289,223.970043
1,0,92.567288,0.510335,0,1163.301387,0.996,0.000444,100.65294,0.102548,0.097274,1429.689519,1,0.025733,40.400693,0.649132,0,132.113535,1,0.032711,48.520868,0.607781,0.233966,421.357815
1,0,30.422792,0.221402,0,0.784553,0.984,0.002933,151.821012,0.189013,0,1.0773,1,0,23.900876,0.401886,0,9.741596,1,0,35.004022,0.335084,0,1.792263
1,0,42.292642,0.275749,0,1.138202,0.984,0.004022,133.956039,0.168211,0,49.033558,1,0.081489,23.114106,0.332564,0,4.305658,1,0.045622,48.137674,0.35552,0.199367,102.630217
0.998,0.000022,44.484607,0.283627,0,1.012694,0.983,0.001356,135.298657,0.189702,0,0.845855,1,0.085689,23.981713,0.387582,0.022763,4.909211,1,0.1032,28.619999,0.367821,0.115806,1.055414
1,0,48.987405,0.310646,0,8.606271,0.988,0.0038,131.79278,0.148589,0,91.421158,1,0.052867,27.719096,0.467432,0,42.136077,1,0.024644,58.639663,0.729691,0,9.954235
1,0,43.66536,0.233214,0,53.266751,0.985,0.000089,142.891636,0.207957,0,1.402826,1,0.041044,38.793446,0.731044,0,68.618554,1,0.027289,43.081216,0.514739,0.040423,39.180653
1,0,49.684629,0.29163,0,1.605826,0.988,0.049356,129.16862,0.180373,0,74.645368,1,0.069289,23.961966,0.375631,0.038859,8.473134,1,0.094133,25.285351,0.297756,0.079985,18.759889
0.998,0.003644,51.018894,0.25089,0,373.334295,0.985,0.214156,53.202262,0.123214,0.288903,405.582517,1,0.039311,28.70843,0.591472,0,46.514577,1,0.347556,9.578643,0.192998,2.490275,30.689425
0.998,0.001022,17.39083,0.098911,0,0.358533,0.982,0.561689,61.147682,0.073321,0.415346,0.330038,1,0.040111,35.115868,0.672188,0,81.337284,1,0.218044,17.599973,0.272348,1.707553,9.449632
1,0,45.032561,0.204213,0,59.446928,0.986,0.000044,74.049214,0.14395,0,143.626912,1,0.081133,62.076616,1.11477,0,129.342041,1,0.039689,41.346728,0.398973,0.213384,214.842995
1,0,45.185063,0.299712,0,1.280521,0.983,0.000022,137.630029,0.215758,0,12.520298,1,0,19.731792,0.377066,0,6.74672,1,0,27.614498,0.335669,0.01146,72.580114
0.999,0.000111,64.951788,0.288852,0,479.64255,0.961,0.002556,70.469785,0.092323,0,662.811659,1,0.1622,31.28423,0.524945,0.122016,36.261725,1,0.050867,72.906082,0.706949,0.244327,478.83232
1,0,35.920517,0.21262,0,1.06407,0.987,0.000222,110.724095,0.120303,0,0.917068,1,0.035933,25.104054,0.433066,0,23.257983,0.999,0.043467,56.739252,0.671218,0.203224,4.518803
1,0,43.388665,0.239908,0,1.056811,0.985,0.004578,130.357254,0.178254,0,0.869676,1,0.097333,14.29815,0.270892,0,3.225801,1,0.044467,36.103033,0.349152,0.155481,2.035208
0.999,0,71.514587,0.382591,0,1.389608,0.987,0.010622,63.003427,0.130017,0,0.33413,1,0.142489,42.94743,0.772632,0,8.473814,1,0.043067,70.414809,0.519229,0.177639,192.356904
1,0,33.212961,0.19654,0,0.99564,0.992,0.000667,114.568402,0.176109,0,0.987854,1,0.037311,34.252918,0.567996,0,21.338392,1,0.032356,46.00891,0.532845,0,3.523792
1,0,29.859637,0.146375,0,0.75241,0.986,0.0012,135.711466,0.187456,0,28.906219,1,0.103022,19.041293,0.337984,0,5.925606,1,0.029889,39.989168,0.349454,0.155462,20.490146
0.998,0,13.951528,0.144098,0.060073,0.272361,0.99,0.038933,164.050056,0.22534,0,1.184814,1,0,41.855269,0.761353,0,16.490609,1,0,34.968313,0.392371,0.030216,1.168146
1,0,27.810032,0.203734,0,28.491368,0.986,0.003422,178.181145,0.180023,0,112.310862,1,0.061311,22.033831,0.429679,0,7.131912,1,0.032867,33.95856,0.388753,0.053609,16.199509
1,0,70.246052,0.375046,0,2.084067,0.986,0.001556,110.152724,0.104007,0.031775,16.014506,1,0.046844,21.706732,0.398166,0,25.310576,1,0.048422,32.156004,0.385664,0.145938,3.473988
1,0,0.344236,0.00492,0,0.010403,0.995,0.004356,192.97167,0.208849,0,1.753311,1,0.037222,14.912584,0.277706,0,16.433733,0.999,0.041044,71.982335,0.885168,0.18811,5.234818
0.995,0.008978,1.090281,0.011785,0.060299,0.022253,0.968,0.155244,6.078377,0.097562,0.333815,0.032435,1,0.161356,48.286204,0.910975,0,9.376215,1,0.255533,43.956438,0.49915,1.127342,1.056929
