0.997000,0.000000,14.503102,0.074635,0.000000,0.250024,0.978000,0.038756,123.574311,0.174520,0.000000,0.579683,1.000000,0.000000,139.071457,0.201801,0.034381,0.457737,0.974000,0.014644,178.272195,0.155139,0.020573,0.173590,1.000000,0.185067,70.881069,1.239711,0.001961,52.011197,0.998000,0.024467,92.366852,0.610330,0.000000,61.629130
0.997000,0.000867,16.719214,0.150591,0.000000,248.502732,0.958000,0.005822,83.948572,0.104449,0.024289,1559.641172,1.000000,0.000000,0.000000,0.107385,0.421917,0.000000,0.936000,0.176089,24.475221,0.006567,0.531806,208.859189,1.000000,0.073000,33.332320,0.573679,0.000000,213.913138,1.000000,0.152289,47.116869,0.684312,0.879618,525.018313
1.000000,0.000000,52.261567,0.349552,0.000000,532.182404,0.989000,0.000289,57.681785,0.156264,0.000000,685.302384,1.000000,0.000000,0.000000,0.055924,0.421917,0.000000,0.927000,0.001178,62.580012,0.120611,0.011134,0.034404,1.000000,0.000000,58.271134,1.115099,0.000000,627.061604,1.000000,0.000000,45.274702,0.814794,1.888886,361.112856
0.997000,0.000000,7.129626,0.042397,0.000000,0.089366,0.983000,0.039644,175.235070,0.231950,0.000000,0.773591,1.000000,0.000000,141.250398,0.182016,0.023185,0.452832,0.973000,0.000000,178.696858,0.106324,0.000000,0.145785,1.000000,0.213978,64.646077,1.060921,0.000000,9.211827,0.998000,0.043533,84.110104,0.477746,0.000697,10.162897
0.996000,0.000778,24.303545,0.194590,0.000000,0.326663,0.983000,0.776956,72.910637,0.083077,0.471277,0.264393,1.000000,0.354422,0.000000,0.093557,0.733502,0.000000,0.971000,0.623533,34.381292,0.034014,0.597614,0.016608,1.000000,0.370044,26.618800,0.490203,0.588185,2.928052,1.000000,0.047822,61.750802,0.546299,0.698997,23.752078
1.000000,0.000000,44.478392,0.293699,0.000000,12.419406,0.993000,0.014844,188.347393,0.245494,0.000000,217.580552,1.000000,0.000000,114.773664,0.136451,0.044488,0.318763,0.988000,0.021200,482.122554,0.235454,0.064630,0.495154,1.000000,0.000000,22.099241,0.368164,0.001346,16.157074,1.000000,0.000000,28.562993,0.320789,0.045533,1.684642
0.997000,0.000000,26.417759,0.181634,0.004616,0.216564,0.898000,0.022489,18.259767,0.109147,0.020483,0.091900,1.000000,0.000000,0.000000,0.127193,0.421917,0.000000,0.928000,0.030533,72.573368,0.033139,0.196647,0.054503,1.000000,0.000000,50.115157,0.930827,0.000000,24.802793,1.000000,0.000000,11.313174,0.129922,2.752333,0.351454
0.997000,0.000711,20.647314,0.167795,0.000000,175.314025,0.957000,0.006000,80.373495,0.172210,0.000000,847.631746,1.000000,0.000000,0.000000,0.092458,0.421917,0.000000,0.936000,0.176156,19.910810,0.006736,0.531604,0.008752,1.000000,0.082600,31.192040,0.562669,0.000000,423.950055,1.000000,0.169511,41.811929,0.598042,1.042371,314.846821
0.998000,0.000000,23.219170,0.157876,0.000000,0.400685,0.972000,0.000422,50.490538,0.134730,0.000000,0.235027,1.000000,0.000000,0.000000,0.030236,0.421917,0.000000,0.921000,0.102844,14.176015,0.009869,0.484797,0.002364,1.000000,0.066578,36.349892,0.633624,0.000000,22.444593,0.999000,0.165978,47.724063,0.425057,0.925311,1.044425
1.000000,0.000000,52.380126,0.308013,0.000000,1.127045,0.977000,0.000000,108.540692,0.102640,0.016466,0.642616,1.000000,0.000000,131.877998,0.134007,0.050698,0.378937,0.958000,0.000000,126.882694,0.145989,0.000000,0.078498,1.000000,0.000000,21.437289,0.360036,0.011930,3.393813,1.000000,0.000000,39.856105,0.391163,0.023329,10.177890
