Realization	utility	week	infra.
0	0	1043	29
1	0	1043	29
2	0	469	29
3	0	1826	29
4	0	1356	29
4	0	2295	30
5	0	1774	29
6	0	417	29
7	0	469	29
8	0	1408	29
10	0	1043	29
14	0	469	29
15	0	469	29
16	0	1304	29
17	0	1043	29
18	0	417	29
20	0	1408	29
21	0	417	29
22	0	1826	29
23	0	1200	29
24	0	469	29
26	0	1722	29
27	0	469	29
28	0	469	29
29	0	2139	29
30	0	1930	29
31	0	2139	29
32	0	1722	29
33	0	1878	29
34	0	469	29
35	0	1148	29
36	0	1252	29
37	0	2191	29
38	0	1930	29
39	0	1461	29
40	0	1043	29
41	0	1565	29
42	0	1513	29
43	0	417	29
45	0	1513	29
46	0	469	29
47	0	1774	29
48	0	469	29
49	0	469	29
53	0	469	29
55	0	2191	29
57	0	469	29
58	0	469	29
59	0	1200	29
61	0	1774	29
62	0	1304	29
63	0	417	29
65	0	469	29
66	0	1826	29
67	0	1513	29
69	0	469	29
70	0	469	29
71	0	1722	29
73	0	469	29
74	0	2295	29
75	0	1252	29
76	0	469	29
79	0	1774	29
80	0	1356	29
81	0	2139	29
82	0	2139	29
83	0	1982	29
84	0	2139	29
86	0	469	29
87	0	417	29
88	0	1461	29
89	0	1669	29
92	0	1148	29
93	0	2191	29
94	0	417	29
95	0	2191	29
96	0	1774	29
97	0	469	29
98	0	2295	29
99	0	2035	29
101	0	1826	29
102	0	1669	29
103	0	469	29
104	0	417	29
105	0	469	29
106	0	469	29
107	0	1200	29
108	0	1304	29
109	0	2191	29
110	0	1148	29
111	0	2191	29
112	0	469	29
113	0	469	29
114	0	2295	29
116	0	469	29
117	0	2139	29
118	0	1826	29
119	0	1878	29
120	0	1930	29
121	0	469	29
122	0	1200	29
123	0	469	29
124	0	1095	29
125	0	469	29
126	0	469	29
127	0	1148	29
128	0	1095	29
129	0	469	29
130	0	417	29
131	0	1461	29
132	0	1148	29
133	0	1617	29
134	0	1878	29
135	0	1356	29
136	0	469	29
137	0	469	29
138	0	1095	29
139	0	1252	29
139	0	2087	30
140	0	469	29
141	0	1200	29
142	0	2035	29
143	0	1930	29
144	0	469	29
145	0	469	29
146	0	1408	29
147	0	1565	29
148	0	417	29
149	0	1095	29
150	0	469	29
151	0	417	29
152	0	469	29
153	0	2035	29
