NPC,REL,RF,PFC,WCC,UC
126.473414,0.986,0.0424,0.794221,0.012525,108.031695
78.110068,0.977,0.290556,0.533602,1.029351,130.328947
81.82966,0.993,0.096644,0.702969,0.111711,14.79647
108.532677,0.985,0.036622,0.904145,0,313.450568
95.989805,0.993,0.114844,1.143235,0.219571,13.986706
159.038382,0.984,0.000022,0.395155,0.073559,32.817836
144.635309,0.983,0.001244,0.46749,0,222.524849
133.970557,0.989,0,2.115306,0.011336,46.52089
126.239941,0.979,0.000933,2.092581,0.012608,70.89257
189.360922,0.993,0.014022,0.389528,0.02832,6.939114
61.025253,0.897,0,0.654275,0.387656,10.082339
53.018139,0.977,0.382867,0.353272,1.620131,1.008464
73.978022,0.993,0.000133,1.130656,0.010768,16.052231
123.07921,0.984,0.044511,0.604426,0.017911,69.584065
125.383416,0.993,0.128133,0.350779,0.265141,170.845651
133.122728,0.986,0.038756,0.589831,0.001361,219.172979
163.353481,0.998,0.034289,0.811969,0.057603,104.666438
74.465696,0.982,0.092044,1.047967,0.217608,27.877337
95.650759,0.992,0.035222,1.053016,0.033219,194.457898
133.54033,0.947,0,2.385106,0.009941,110.468011
115.587991,0.994,0.004333,0.814108,0,30.161992
72.454559,0.969,0.1018,1.069407,0.127143,218.785818
140.012686,0.994,0.060067,0.39586,0.141389,117.467039
155.445161,0.977,0.008111,0.386496,0.00601,225.776654
68.015907,0.986,0.139733,0.54507,0.12568,218.366669
85.667861,0.98,0.002778,0.762358,0.022337,13.050359
152.029774,0.99,0.0344,0.548075,0.0919,66.343698
174.380879,0.994,0.052511,0.711764,0.086016,220.25104
75.616695,0.981,0.085867,1.249327,0.524201,62.466523
68.075829,0.985,0.317711,0.384577,1.70747,1.493007
208.59078,0.996,0.0474,0.298763,0.063759,128.7452
131.241072,0.953,0,2.171236,0.011766,89.137856
132.935419,0.986,0.157911,0.360117,0.20446,69.250649
166.872383,0.994,0.044533,0.76157,0,184.595715
133.303775,0.992,0.0374,0.356336,0.015051,76.904348
89.873138,0.971,0.176333,0.635275,0,19.220082
96.10835,0.989,0.037822,0.879063,0.023773,81.731227
139.664157,0.992,0.039578,0.50642,0.001368,21.226468
69.356892,0.95,0.057511,0.551169,0.457506,10.335111
180.686982,0.985,0.003444,0.703465,0,114.611534
155.380827,0.99,0.040356,0.378425,0.075242,19.640671
117.778481,0.988,0.068511,0.549828,0.398381,113.580478
163.708767,0.991,0.057956,0.331586,0.560268,168.032359
127.893316,0.995,0.036,0.670248,0,88.43668
70.166559,0.983,0.000022,0.787501,0.025987,582.567504
129.990234,0.991,0.035333,0.54737,0.124852,175.595106
137.226322,0.997,0.067,0.377299,0.086326,66.462508
137.656244,0.99,0.066489,0.627523,0.039061,26.923817
115.5219,0.99,0.057933,0.564352,0.001949,88.811555
69.068827,0.909,0.293711,0.397333,0.594315,218.007613
178.395711,0.993,0.002822,0.676811,0.052649,21.507063
133.584611,0.996,0.026467,0.615422,0.054822,446.105523
79.309579,0.938,0.039756,0.794124,0,7.220156
55.085587,0.969,0.798133,0.134459,5.243742,0.143663
122.506522,0.991,0.032844,0.572333,0.10065,611.781978
115.032197,0.987,0.040822,0.592511,0.036047,36.232394
138.431771,0.985,0.109933,0.368865,0.288859,58.338268
121.407423,0.986,0.089533,0.384206,0.087031,66.954848
161.847135,0.983,0.055178,0.342289,0.331389,16.560765
