Realization	utility	week	infra.
0	0	678	29
1	0	678	29
2	0	834	29
3	0	1565	30
4	0	834	29
4	0	2087	30
5	0	678	29
6	0	730	29
7	0	1095	29
8	0	834	29
10	0	574	29
12	0	1930	29
13	0	1826	29
14	0	521	29
15	0	574	29
16	0	626	29
17	0	626	29
18	0	678	29
19	0	1826	30
20	0	730	29
21	0	574	29
22	0	1200	29
23	0	574	29
24	0	521	29
25	0	1722	30
26	0	782	29
27	0	626	29
28	0	939	29
29	0	1148	29
30	0	1617	30
31	0	834	29
32	0	1148	29
33	0	782	29
34	0	782	29
35	0	678	29
36	0	730	29
37	0	939	29
38	0	678	29
39	0	887	29
40	0	626	29
40	0	2087	30
41	0	939	29
42	0	1043	29
43	0	730	29
44	0	1722	30
45	0	730	29
46	0	782	29
47	0	1304	29
48	0	2295	29
49	0	730	29
50	0	1669	30
51	0	1565	30
52	0	887	29
53	0	678	29
53	0	2139	30
55	0	834	29
56	0	1148	29
57	0	574	29
57	0	2139	30
58	0	678	29
59	0	574	29
60	0	1565	29
61	0	782	29
62	0	730	29
63	0	834	29
64	0	1930	30
65	0	678	29
66	0	1617	30
67	0	887	29
68	0	1617	30
69	0	1148	29
70	0	730	29
71	0	1148	29
72	0	1878	30
73	0	1669	30
74	0	1565	29
75	0	678	29
76	0	1669	30
77	0	1722	30
78	0	1617	30
79	0	887	29
80	0	678	29
81	0	678	29
82	0	730	29
83	0	1095	29
84	0	782	29
85	0	1617	30
86	0	1304	29
87	0	574	29
87	0	2035	30
88	0	887	29
89	0	1043	29
90	0	1669	30
91	0	782	29
92	0	678	29
93	0	1513	30
94	0	1722	30
95	0	1200	29
96	0	991	29
97	0	1513	29
98	0	1722	30
99	0	1252	29
100	0	1513	29
101	0	887	29
102	0	678	29
103	0	1095	29
104	0	678	29
105	0	1513	30
106	0	782	29
107	0	626	29
108	0	626	29
109	0	1722	30
110	0	678	29
111	0	887	29
112	0	887	29
113	0	574	29
114	0	834	29
115	0	1617	30
116	0	1669	30
117	0	1617	30
118	0	1774	30
119	0	1565	30
120	0	782	29
121	0	1095	29
122	0	678	29
123	0	1669	30
124	0	730	29
125	0	678	29
126	0	626	29
127	0	678	29
128	0	626	29
129	0	1148	29
130	0	521	29
131	0	678	29
132	0	626	29
133	0	782	29
134	0	991	29
135	0	574	29
136	0	574	29
136	0	1774	30
137	0	939	29
138	0	626	29
138	0	2035	30
139	0	678	29
139	0	1982	30
140	0	1722	30
141	0	574	29
142	0	1200	29
143	0	1565	30
144	0	2035	30
145	0	1513	30
146	0	626	29
147	0	834	29
148	0	1617	30
149	0	678	29
150	0	678	29
151	0	1095	29
152	0	782	29
153	0	1095	29
154	0	626	29
155	0	574	29
156	0	574	29
158	0	678	29
159	0	626	29
160	0	834	29
161	0	1669	30
162	0	1095	29
163	0	1617	29
164	0	521	29
165	0	730	29
166	0	1669	30
167	0	1565	29
169	0	678	29
170	0	626	29
171	0	1408	29
172	0	1095	29
173	0	1565	30
174	0	1095	29
175	0	887	29
176	0	574	29
177	0	1774	30
178	0	1669	30
179	0	626	29
180	0	2243	29
181	0	626	29
182	0	939	29
183	0	626	29
184	0	1669	29
185	0	834	29
187	0	1095	29
188	0	1878	29
189	0	1095	29
189	0	2295	30
190	0	1252	29
191	0	678	29
192	0	730	29
193	0	730	29
194	0	782	29
196	0	574	29
196	0	1774	30
198	0	782	29
199	0	574	29
200	0	1200	29
201	0	1669	30
202	0	1148	29
203	0	1043	29
204	0	626	29
205	0	1565	30
206	0	574	29
206	0	1148	30
207	0	678	29
208	0	574	29
210	0	626	29
211	0	1669	30
212	0	1148	29
213	0	1722	30
214	0	2139	29
215	0	1565	30
216	0	2139	29
217	0	1565	30
218	0	887	29
220	0	1565	30
221	0	730	29
222	0	1878	29
223	0	1826	29
224	0	1148	29
