Realization	utility	week	infra.
0	0	626	29
0	0	991	30
1	0	626	29
1	0	991	30
2	0	469	29
3	0	1148	30
4	0	574	29
4	0	1356	30
5	0	678	30
6	0	730	30
7	0	626	30
8	0	887	30
9	0	1982	30
10	0	521	29
10	0	939	30
12	0	1304	30
13	0	1356	30
14	0	469	29
14	0	991	30
15	0	730	30
16	0	574	29
16	0	1461	30
17	0	574	29
17	0	1878	30
18	0	626	30
19	0	1878	30
20	0	521	29
20	0	1356	30
21	0	417	29
21	0	1043	30
22	0	1200	30
23	0	626	29
24	0	469	29
24	0	1408	30
25	0	1461	30
26	0	782	30
27	0	626	30
28	0	834	30
29	0	939	30
30	0	1148	30
31	0	626	29
31	0	2035	30
32	0	1148	30
33	0	521	29
33	0	2191	30
34	0	782	30
35	0	574	29
35	0	1252	30
36	0	678	29
37	0	678	29
38	0	626	29
39	0	626	29
39	0	1565	30
40	0	574	29
40	0	939	30
41	0	782	30
42	0	626	29
42	0	1513	30
43	0	574	30
44	0	1930	30
45	0	730	29
45	0	1513	30
46	0	782	30
47	0	834	30
48	0	1565	30
49	0	678	30
50	0	1826	30
51	0	1513	30
52	0	887	30
53	0	678	30
55	0	678	29
56	0	1148	30
57	0	521	29
57	0	1148	30
58	0	678	30
59	0	521	29
59	0	1148	30
60	0	991	30
61	0	626	29
62	0	574	29
62	0	1461	30
63	0	834	30
64	0	1878	30
65	0	469	29
65	0	2087	30
66	0	1148	30
67	0	887	30
68	0	1356	30
69	0	626	30
70	0	626	30
71	0	1095	30
73	0	1982	30
74	0	782	30
75	0	626	29
76	0	1043	30
77	0	1461	30
78	0	1669	30
79	0	887	30
80	0	730	29
81	0	521	29
82	0	782	30
83	0	887	30
84	0	626	29
84	0	2295	30
85	0	2035	30
86	0	834	30
87	0	469	29
87	0	1095	30
88	0	887	30
89	0	626	29
89	0	1461	30
90	0	1148	30
91	0	626	29
92	0	574	29
92	0	1982	30
93	0	1304	30
94	0	2191	30
95	0	730	29
95	0	2243	30
96	0	939	30
97	0	1565	30
98	0	1930	30
99	0	1304	30
100	0	1669	30
101	0	782	30
102	0	678	30
103	0	1095	30
104	0	469	29
104	0	1461	30
105	0	1878	30
106	0	782	30
107	0	574	29
107	0	1304	30
108	0	574	29
108	0	2191	30
109	0	1252	30
110	0	574	29
110	0	1408	30
111	0	782	30
112	0	626	30
113	0	469	29
113	0	1356	30
114	0	574	29
115	0	1148	30
116	0	1252	30
117	0	1669	30
118	0	1095	30
119	0	1148	30
120	0	782	30
121	0	1617	30
122	0	626	29
122	0	2035	30
123	0	1930	30
124	0	678	29
124	0	991	30
125	0	678	30
126	0	469	29
126	0	939	30
127	0	574	29
127	0	1252	30
128	0	574	29
128	0	887	30
129	0	1200	30
130	0	469	29
131	0	574	29
131	0	1513	30
132	0	574	29
132	0	2191	30
133	0	782	30
134	0	991	30
135	0	521	29
135	0	1878	30
136	0	469	29
136	0	1095	30
137	0	730	30
138	0	574	29
138	0	939	30
139	0	626	29
139	0	1878	30
140	0	1304	30
141	0	521	29
141	0	1148	30
142	0	574	29
143	0	1252	30
